stat_name,val
Ground Points,1000.0
Ground Points Observed,634.0
Average Event Reobservation Time [s],19127.915966386554
Standard Deviation of Event Reobservation Time [s],20846.969189699965
Median Event Reobservation Time [s],3090.0
Events,1000.0
Events Detected,0.0
Events Observed,0.0
Observations,1229.0
Event Observations,0.0
Events Re-observed,0.0
Event Re-observations,0.0
Events Co-observed,0.0
Events Partially Co-observed,0.0
Events Fully Co-observed,0.0
Event Co-observations,0.0
P(Event Detected),0.0
P(Event Observed),0.0
P(Event Re-observed),0.0
P(Event Co-observed),0.0
P(Event Partially Co-observed),0.0
P(Event Fully Co-observed),0.0
P(Event at a GP),0.633
P(Event Observation | Observation),0.0
P(Event Observed | Event Detected),
P(Event Re-oberved | Event Detected),
P(Event Co-observed | Event Detected),
P(Event Co-observed Partially | Event Detected),
P(Event Co-observed Fully | Event Detected),
