stat_name,val
Ground Points,1000.0
Ground Points Observed,263.0
Average Event Reobservation Time [s],26093.684210526317
Standard Deviation of Event Reobservation Time [s],22645.866640521337
Median Event Reobservation Time [s],16840.0
Events,1000.0
Events Detected,0.0
Events Observed,0.0
Observations,301.0
Event Observations,0.0
Events Re-observed,0.0
Event Re-observations,0.0
Events Co-observed,0.0
Events Partially Co-observed,0.0
Events Fully Co-observed,0.0
Event Co-observations,0.0
P(Event Detected),0.0
P(Event Observed),0.0
P(Event Re-observed),0.0
P(Event Co-observed),0.0
P(Event Partially Co-observed),0.0
P(Event Fully Co-observed),0.0
P(Event at a GP),0.645
P(Event Observation | Observation),0.0
P(Event Observed | Event Detected),
P(Event Re-oberved | Event Detected),
P(Event Co-observed | Event Detected),
P(Event Co-observed Partially | Event Detected),
P(Event Co-observed Fully | Event Detected),
