Name,Constellation,Number Planes,Number of Satellites per Plane,Field of Regard (deg),Field of View (deg),Maximum Slew Rate (deg/s),Number of Events per Day,Event Duration (hrs),Grid Type,Number of Ground-Points,Percent Ground-Points Considered,Preplanner,Replanner
scenario_0,0,1,8,30,10,10,1000,6.0,uniform,10000,0.2,fifo,acbba
scenario_0,0,1,8,30,10,10,1000,6.0,uniform,10000,0.2,fifo,none
scenario_0,0,1,8,30,10,10,1000,6.0,uniform,10000,0.2,nadir,acbba
scenario_0,0,1,8,30,10,10,1000,6.0,uniform,10000,0.2,nadir,none
scenario_1,0,1,8,30,1,10,10,3.0,fibonacci,5000,0.5,fifo,acbba
scenario_1,0,1,8,30,1,10,10,3.0,fibonacci,5000,0.5,fifo,none
scenario_1,0,1,8,30,1,10,10,3.0,fibonacci,5000,0.5,nadir,acbba
scenario_1,0,1,8,30,1,10,10,3.0,fibonacci,5000,0.5,nadir,none
scenario_2,2,3,4,60,1,10,10,3.0,fibonacci,100,1.0,fifo,acbba
scenario_2,2,3,4,60,1,10,10,3.0,fibonacci,100,1.0,fifo,none
scenario_2,2,3,4,60,1,10,10,3.0,fibonacci,100,1.0,nadir,acbba
scenario_2,2,3,4,60,1,10,10,3.0,fibonacci,100,1.0,nadir,none
scenario_3,1,2,4,30,1,1,1000,1.0,fibonacci,10000,0.5,fifo,acbba
scenario_3,1,2,4,30,1,1,1000,1.0,fibonacci,10000,0.5,fifo,none
scenario_3,1,2,4,30,1,1,1000,1.0,fibonacci,10000,0.5,nadir,acbba
scenario_3,1,2,4,30,1,1,1000,1.0,fibonacci,10000,0.5,nadir,none
scenario_4,3,8,3,30,1,1,1000,1.0,uniform,10000,0.25,fifo,acbba
scenario_4,3,8,3,30,1,1,1000,1.0,uniform,10000,0.25,fifo,none
scenario_4,3,8,3,30,1,1,1000,1.0,uniform,10000,0.25,nadir,acbba
scenario_4,3,8,3,30,1,1,1000,1.0,uniform,10000,0.25,nadir,none
scenario_5,1,2,4,30,10,1,10,0.25,hydrolakes,100,0.3333333333333333,fifo,acbba
scenario_5,1,2,4,30,10,1,10,0.25,hydrolakes,100,0.3333333333333333,fifo,none
scenario_5,1,2,4,30,10,1,10,0.25,hydrolakes,100,0.3333333333333333,nadir,acbba
scenario_5,1,2,4,30,10,1,10,0.25,hydrolakes,100,0.3333333333333333,nadir,none
scenario_6,0,1,8,60,10,1,100,1.0,fibonacci,5000,0.2,fifo,acbba
scenario_6,0,1,8,60,10,1,100,1.0,fibonacci,5000,0.2,fifo,none
scenario_6,0,1,8,60,10,1,100,1.0,fibonacci,5000,0.2,nadir,acbba
scenario_6,0,1,8,60,10,1,100,1.0,fibonacci,5000,0.2,nadir,none
scenario_7,3,8,3,60,1,1,1000,1.0,hydrolakes,1000,0.2,fifo,acbba
scenario_7,3,8,3,60,1,1,1000,1.0,hydrolakes,1000,0.2,fifo,none
scenario_7,3,8,3,60,1,1,1000,1.0,hydrolakes,1000,0.2,nadir,acbba
scenario_7,3,8,3,60,1,1,1000,1.0,hydrolakes,1000,0.2,nadir,none
scenario_8,2,3,4,30,10,1,100,6.0,uniform,1000,0.5,fifo,acbba
scenario_8,2,3,4,30,10,1,100,6.0,uniform,1000,0.5,fifo,none
scenario_8,2,3,4,30,10,1,100,6.0,uniform,1000,0.5,nadir,acbba
scenario_8,2,3,4,30,10,1,100,6.0,uniform,1000,0.5,nadir,none
scenario_9,2,3,4,60,1,1,10000,1.0,uniform,1000,0.25,fifo,acbba
scenario_9,2,3,4,60,1,1,10000,1.0,uniform,1000,0.25,fifo,none
scenario_9,2,3,4,60,1,1,10000,1.0,uniform,1000,0.25,nadir,acbba
scenario_9,2,3,4,60,1,1,10000,1.0,uniform,1000,0.25,nadir,none
scenario_10,0,1,8,60,1,10,10,6.0,uniform,1000,0.3333333333333333,fifo,acbba
scenario_10,0,1,8,60,1,10,10,6.0,uniform,1000,0.3333333333333333,fifo,none
scenario_10,0,1,8,60,1,10,10,6.0,uniform,1000,0.3333333333333333,nadir,acbba
scenario_10,0,1,8,60,1,10,10,6.0,uniform,1000,0.3333333333333333,nadir,none
scenario_11,2,3,4,30,1,10,10,6.0,uniform,5000,0.3333333333333333,fifo,acbba
scenario_11,2,3,4,30,1,10,10,6.0,uniform,5000,0.3333333333333333,fifo,none
scenario_11,2,3,4,30,1,10,10,6.0,uniform,5000,0.3333333333333333,nadir,acbba
scenario_11,2,3,4,30,1,10,10,6.0,uniform,5000,0.3333333333333333,nadir,none
scenario_12,0,1,8,60,1,1,10000,3.0,hydrolakes,5000,0.3333333333333333,fifo,acbba
scenario_12,0,1,8,60,1,1,10000,3.0,hydrolakes,5000,0.3333333333333333,fifo,none
scenario_12,0,1,8,60,1,1,10000,3.0,hydrolakes,5000,0.3333333333333333,nadir,acbba
scenario_12,0,1,8,60,1,1,10000,3.0,hydrolakes,5000,0.3333333333333333,nadir,none
