Constellation,Number Planes,Number of Satellites per Plane,Field of Regard (deg),Field of View (deg),Maximum Slew Rate (deg/s),Number of Events per Day,Event Duration (hrs),Grid Type,Number of Ground-Points,Percent Ground-Points Considered
0,1,8,30,1,10,10,3.0,fibonacci,5000,0.5
0,1,8,60,1,10,10,6.0,uniform,1000,0.3333333333333333
2,3,4,30,1,10,10,6.0,uniform,5000,0.3333333333333333
1,2,4,60,10,1,10,0.25,hydrolakes,100,1.0
2,3,4,30,1,1,10,6.0,uniform,1000,0.2
2,3,4,60,1,10,1000,1.0,uniform,5000,0.25
2,3,4,30,1,10,10000,0.25,uniform,10000,0.25
2,3,4,60,1,10,10,3.0,fibonacci,100,1.0
2,3,4,30,10,1,1000,0.25,fibonacci,10000,0.25
1,2,4,30,10,1,10,0.25,uniform,10000,0.3333333333333333
1,2,4,30,10,10,10,1.0,fibonacci,5000,0.25
0,1,8,30,10,10,10,0.25,uniform,5000,0.25
3,8,3,60,1,1,100,0.25,fibonacci,1000,0.3333333333333333
1,2,4,30,1,1,1000,1.0,fibonacci,10000,0.5
1,2,4,60,1,10,10,3.0,fibonacci,5000,0.3333333333333333
1,2,4,60,10,1,100,0.25,fibonacci,100,0.3333333333333333
0,1,8,30,1,1,10,6.0,hydrolakes,5000,0.2
2,3,4,60,1,10,10000,0.25,uniform,5000,0.5
0,1,8,60,1,1,10,0.25,fibonacci,100,1.0
0,1,8,30,1,10,10,1.0,fibonacci,10000,1.0
2,3,4,30,10,10,1000,0.25,hydrolakes,1000,0.2
1,2,4,30,10,1,10,0.25,hydrolakes,100,0.3333333333333333
3,8,3,30,1,1,1000,1.0,uniform,10000,0.25
3,8,3,30,10,10,10,1.0,hydrolakes,5000,1.0
0,1,8,60,1,1,10000,3.0,hydrolakes,5000,0.3333333333333333
0,1,8,60,10,1,100,3.0,fibonacci,10000,0.2
3,8,3,60,10,10,100,1.0,uniform,5000,1.0
1,2,4,60,1,10,1000,1.0,fibonacci,10000,0.25
2,3,4,30,1,10,100,3.0,hydrolakes,1000,0.2
2,3,4,30,10,10,100,1.0,uniform,100,0.2
1,2,4,60,1,10,100,6.0,fibonacci,100,0.25
2,3,4,60,1,10,1000,1.0,hydrolakes,5000,0.5
3,8,3,30,1,1,10000,3.0,hydrolakes,5000,0.5
1,2,4,60,10,10,100,6.0,uniform,100,0.5
2,3,4,30,10,10,100,3.0,uniform,5000,0.5
0,1,8,60,10,1,100,1.0,fibonacci,5000,0.2
3,8,3,60,1,1,1000,1.0,hydrolakes,1000,0.2
2,3,4,60,1,1,10000,1.0,uniform,1000,0.25
