Name,Scenario ID,Constellation,Number Planes,Number of Satellites per Plane,Field of Regard (deg),Field of View (deg),Maximum Slew Rate (deg/s),Number of Events per Day,Event Duration (hrs),Grid Type,Number of Ground-Points,Percent Ground-Points Considered,Preplanner,Replanner
scenario_fifo-none_0,0,0,1,8,60,10,10,100,1.0,fibonacci,2500,1,fifo,none
scenario_fifo-none_1,1,1,2,4,30,10,1,100,6.0,inland,1000,1,fifo,none
scenario_fifo-none_2,2,0,1,8,30,10,1,1000,1.0,fibonacci,5000,1,fifo,none
scenario_fifo-none_3,3,2,3,4,60,10,10,10000,3.0,inland,5000,1,fifo,none
scenario_fifo-none_4,4,2,3,4,30,1,10,100,0.25,hydrolakes,1000,1,fifo,none
scenario_fifo-none_5,5,0,1,8,60,10,10,10000,3.0,hydrolakes,2500,1,fifo,none
scenario_fifo-none_6,6,2,3,4,30,1,10,1000,6.0,inland,5000,1,fifo,none
scenario_fifo-none_7,7,0,1,8,60,10,1,100,0.25,inland,10000,1,fifo,none
scenario_fifo-none_8,8,3,8,3,60,10,10,10000,3.0,fibonacci,2500,1,fifo,none
scenario_fifo-none_9,9,1,2,4,30,1,10,1000,6.0,hydrolakes,2500,1,fifo,none
scenario_fifo-none_10,10,1,2,4,60,1,10,100,1.0,inland,5000,1,fifo,none
scenario_fifo-none_11,11,3,8,3,60,10,10,1000,0.25,fibonacci,2500,1,fifo,none
scenario_fifo-none_12,12,3,8,3,60,10,1,10000,1.0,fibonacci,1000,1,fifo,none
scenario_fifo-none_13,13,1,2,4,30,1,10,10000,3.0,inland,10000,1,fifo,none
scenario_fifo-none_14,14,3,8,3,60,10,1,100,0.25,fibonacci,1000,1,fifo,none
scenario_fifo-none_15,15,0,1,8,30,10,1,10000,6.0,inland,10000,1,fifo,none
scenario_fifo-none_16,16,3,8,3,30,10,1,10000,3.0,fibonacci,2500,1,fifo,none
scenario_fifo-none_17,17,2,3,4,30,10,1,1000,6.0,hydrolakes,1000,1,fifo,none
scenario_fifo-none_18,18,1,2,4,30,1,1,10000,0.25,inland,1000,1,fifo,none
scenario_fifo-none_19,19,3,8,3,30,10,1,1000,1.0,fibonacci,1000,1,fifo,none
scenario_fifo-none_20,20,1,2,4,30,1,1,100,1.0,hydrolakes,1000,1,fifo,none
scenario_fifo-none_21,21,0,1,8,60,1,10,1000,0.25,fibonacci,10000,1,fifo,none
scenario_fifo-none_22,22,3,8,3,60,10,10,1000,6.0,hydrolakes,1000,1,fifo,none
scenario_fifo-none_23,23,3,8,3,60,10,1,10000,1.0,fibonacci,2500,1,fifo,none
scenario_fifo-none_24,24,2,3,4,60,1,10,100,0.25,hydrolakes,2500,1,fifo,none
scenario_fifo-none_25,25,2,3,4,30,1,1,10000,6.0,inland,10000,1,fifo,none
scenario_fifo-none_26,26,0,1,8,60,1,10,1000,1.0,inland,2500,1,fifo,none
scenario_fifo-none_27,27,2,3,4,30,1,10,100,0.25,inland,2500,1,fifo,none
scenario_fifo-none_28,28,0,1,8,30,1,1,1000,6.0,hydrolakes,1000,1,fifo,none
scenario_fifo-none_29,29,1,2,4,60,1,1,10000,0.25,fibonacci,5000,1,fifo,none
scenario_fifo-none_30,30,3,8,3,30,10,1,1000,3.0,hydrolakes,5000,1,fifo,none
scenario_fifo-none_31,31,3,8,3,60,1,1,1000,6.0,fibonacci,5000,1,fifo,none
scenario_fifo-none_32,32,0,1,8,60,1,1,100,3.0,hydrolakes,1000,1,fifo,none
scenario_fifo-none_33,33,3,8,3,30,1,10,1000,3.0,inland,5000,1,fifo,none
scenario_fifo-none_34,34,0,1,8,60,1,1,10000,0.25,inland,5000,1,fifo,none
scenario_fifo-none_35,35,1,2,4,30,10,10,10000,6.0,fibonacci,10000,1,fifo,none
scenario_fifo-none_36,36,2,3,4,60,10,10,100,1.0,fibonacci,10000,1,fifo,none
scenario_fifo-none_37,37,2,3,4,30,1,10,10000,1.0,fibonacci,2500,1,fifo,none
scenario_fifo-none_38,38,2,3,4,30,1,10,1000,1.0,hydrolakes,2500,1,fifo,none
scenario_fifo-none_39,39,0,1,8,60,1,10,100,1.0,inland,10000,1,fifo,none
scenario_fifo-none_40,40,2,3,4,60,10,1,100,0.25,inland,5000,1,fifo,none
scenario_fifo-none_41,41,1,2,4,30,10,1,1000,0.25,fibonacci,5000,1,fifo,none
scenario_fifo-none_42,42,3,8,3,60,10,1,100,6.0,hydrolakes,5000,1,fifo,none
scenario_fifo-broadcaster_0,0,0,1,8,60,10,10,100,1.0,fibonacci,2500,1,fifo,broadcaster
scenario_fifo-broadcaster_1,1,1,2,4,30,10,1,100,6.0,inland,1000,1,fifo,broadcaster
scenario_fifo-broadcaster_2,2,0,1,8,30,10,1,1000,1.0,fibonacci,5000,1,fifo,broadcaster
scenario_fifo-broadcaster_3,3,2,3,4,60,10,10,10000,3.0,inland,5000,1,fifo,broadcaster
scenario_fifo-broadcaster_4,4,2,3,4,30,1,10,100,0.25,hydrolakes,1000,1,fifo,broadcaster
scenario_fifo-broadcaster_5,5,0,1,8,60,10,10,10000,3.0,hydrolakes,2500,1,fifo,broadcaster
scenario_fifo-broadcaster_6,6,2,3,4,30,1,10,1000,6.0,inland,5000,1,fifo,broadcaster
scenario_fifo-broadcaster_7,7,0,1,8,60,10,1,100,0.25,inland,10000,1,fifo,broadcaster
scenario_fifo-broadcaster_8,8,3,8,3,60,10,10,10000,3.0,fibonacci,2500,1,fifo,broadcaster
scenario_fifo-broadcaster_9,9,1,2,4,30,1,10,1000,6.0,hydrolakes,2500,1,fifo,broadcaster
scenario_fifo-broadcaster_10,10,1,2,4,60,1,10,100,1.0,inland,5000,1,fifo,broadcaster
scenario_fifo-broadcaster_11,11,3,8,3,60,10,10,1000,0.25,fibonacci,2500,1,fifo,broadcaster
scenario_fifo-broadcaster_12,12,3,8,3,60,10,1,10000,1.0,fibonacci,1000,1,fifo,broadcaster
scenario_fifo-broadcaster_13,13,1,2,4,30,1,10,10000,3.0,inland,10000,1,fifo,broadcaster
scenario_fifo-broadcaster_14,14,3,8,3,60,10,1,100,0.25,fibonacci,1000,1,fifo,broadcaster
scenario_fifo-broadcaster_15,15,0,1,8,30,10,1,10000,6.0,inland,10000,1,fifo,broadcaster
scenario_fifo-broadcaster_16,16,3,8,3,30,10,1,10000,3.0,fibonacci,2500,1,fifo,broadcaster
scenario_fifo-broadcaster_17,17,2,3,4,30,10,1,1000,6.0,hydrolakes,1000,1,fifo,broadcaster
scenario_fifo-broadcaster_18,18,1,2,4,30,1,1,10000,0.25,inland,1000,1,fifo,broadcaster
scenario_fifo-broadcaster_19,19,3,8,3,30,10,1,1000,1.0,fibonacci,1000,1,fifo,broadcaster
scenario_fifo-broadcaster_20,20,1,2,4,30,1,1,100,1.0,hydrolakes,1000,1,fifo,broadcaster
scenario_fifo-broadcaster_21,21,0,1,8,60,1,10,1000,0.25,fibonacci,10000,1,fifo,broadcaster
scenario_fifo-broadcaster_22,22,3,8,3,60,10,10,1000,6.0,hydrolakes,1000,1,fifo,broadcaster
scenario_fifo-broadcaster_23,23,3,8,3,60,10,1,10000,1.0,fibonacci,2500,1,fifo,broadcaster
scenario_fifo-broadcaster_24,24,2,3,4,60,1,10,100,0.25,hydrolakes,2500,1,fifo,broadcaster
scenario_fifo-broadcaster_25,25,2,3,4,30,1,1,10000,6.0,inland,10000,1,fifo,broadcaster
scenario_fifo-broadcaster_26,26,0,1,8,60,1,10,1000,1.0,inland,2500,1,fifo,broadcaster
scenario_fifo-broadcaster_27,27,2,3,4,30,1,10,100,0.25,inland,2500,1,fifo,broadcaster
scenario_fifo-broadcaster_28,28,0,1,8,30,1,1,1000,6.0,hydrolakes,1000,1,fifo,broadcaster
scenario_fifo-broadcaster_29,29,1,2,4,60,1,1,10000,0.25,fibonacci,5000,1,fifo,broadcaster
scenario_fifo-broadcaster_30,30,3,8,3,30,10,1,1000,3.0,hydrolakes,5000,1,fifo,broadcaster
scenario_fifo-broadcaster_31,31,3,8,3,60,1,1,1000,6.0,fibonacci,5000,1,fifo,broadcaster
scenario_fifo-broadcaster_32,32,0,1,8,60,1,1,100,3.0,hydrolakes,1000,1,fifo,broadcaster
scenario_fifo-broadcaster_33,33,3,8,3,30,1,10,1000,3.0,inland,5000,1,fifo,broadcaster
scenario_fifo-broadcaster_34,34,0,1,8,60,1,1,10000,0.25,inland,5000,1,fifo,broadcaster
scenario_fifo-broadcaster_35,35,1,2,4,30,10,10,10000,6.0,fibonacci,10000,1,fifo,broadcaster
scenario_fifo-broadcaster_36,36,2,3,4,60,10,10,100,1.0,fibonacci,10000,1,fifo,broadcaster
scenario_fifo-broadcaster_37,37,2,3,4,30,1,10,10000,1.0,fibonacci,2500,1,fifo,broadcaster
scenario_fifo-broadcaster_38,38,2,3,4,30,1,10,1000,1.0,hydrolakes,2500,1,fifo,broadcaster
scenario_fifo-broadcaster_39,39,0,1,8,60,1,10,100,1.0,inland,10000,1,fifo,broadcaster
scenario_fifo-broadcaster_40,40,2,3,4,60,10,1,100,0.25,inland,5000,1,fifo,broadcaster
scenario_fifo-broadcaster_41,41,1,2,4,30,10,1,1000,0.25,fibonacci,5000,1,fifo,broadcaster
scenario_fifo-broadcaster_42,42,3,8,3,60,10,1,100,6.0,hydrolakes,5000,1,fifo,broadcaster
scenario_fifo-acbba_0,0,0,1,8,60,10,10,100,1.0,fibonacci,2500,1,fifo,acbba
scenario_fifo-acbba_1,1,1,2,4,30,10,1,100,6.0,inland,1000,1,fifo,acbba
scenario_fifo-acbba_2,2,0,1,8,30,10,1,1000,1.0,fibonacci,5000,1,fifo,acbba
scenario_fifo-acbba_3,3,2,3,4,60,10,10,10000,3.0,inland,5000,1,fifo,acbba
scenario_fifo-acbba_4,4,2,3,4,30,1,10,100,0.25,hydrolakes,1000,1,fifo,acbba
scenario_fifo-acbba_5,5,0,1,8,60,10,10,10000,3.0,hydrolakes,2500,1,fifo,acbba
scenario_fifo-acbba_6,6,2,3,4,30,1,10,1000,6.0,inland,5000,1,fifo,acbba
scenario_fifo-acbba_7,7,0,1,8,60,10,1,100,0.25,inland,10000,1,fifo,acbba
scenario_fifo-acbba_8,8,3,8,3,60,10,10,10000,3.0,fibonacci,2500,1,fifo,acbba
scenario_fifo-acbba_9,9,1,2,4,30,1,10,1000,6.0,hydrolakes,2500,1,fifo,acbba
scenario_fifo-acbba_10,10,1,2,4,60,1,10,100,1.0,inland,5000,1,fifo,acbba
scenario_fifo-acbba_11,11,3,8,3,60,10,10,1000,0.25,fibonacci,2500,1,fifo,acbba
scenario_fifo-acbba_12,12,3,8,3,60,10,1,10000,1.0,fibonacci,1000,1,fifo,acbba
scenario_fifo-acbba_13,13,1,2,4,30,1,10,10000,3.0,inland,10000,1,fifo,acbba
scenario_fifo-acbba_14,14,3,8,3,60,10,1,100,0.25,fibonacci,1000,1,fifo,acbba
scenario_fifo-acbba_15,15,0,1,8,30,10,1,10000,6.0,inland,10000,1,fifo,acbba
scenario_fifo-acbba_16,16,3,8,3,30,10,1,10000,3.0,fibonacci,2500,1,fifo,acbba
scenario_fifo-acbba_17,17,2,3,4,30,10,1,1000,6.0,hydrolakes,1000,1,fifo,acbba
scenario_fifo-acbba_18,18,1,2,4,30,1,1,10000,0.25,inland,1000,1,fifo,acbba
scenario_fifo-acbba_19,19,3,8,3,30,10,1,1000,1.0,fibonacci,1000,1,fifo,acbba
scenario_fifo-acbba_20,20,1,2,4,30,1,1,100,1.0,hydrolakes,1000,1,fifo,acbba
scenario_fifo-acbba_21,21,0,1,8,60,1,10,1000,0.25,fibonacci,10000,1,fifo,acbba
scenario_fifo-acbba_22,22,3,8,3,60,10,10,1000,6.0,hydrolakes,1000,1,fifo,acbba
scenario_fifo-acbba_23,23,3,8,3,60,10,1,10000,1.0,fibonacci,2500,1,fifo,acbba
scenario_fifo-acbba_24,24,2,3,4,60,1,10,100,0.25,hydrolakes,2500,1,fifo,acbba
scenario_fifo-acbba_25,25,2,3,4,30,1,1,10000,6.0,inland,10000,1,fifo,acbba
scenario_fifo-acbba_26,26,0,1,8,60,1,10,1000,1.0,inland,2500,1,fifo,acbba
scenario_fifo-acbba_27,27,2,3,4,30,1,10,100,0.25,inland,2500,1,fifo,acbba
scenario_fifo-acbba_28,28,0,1,8,30,1,1,1000,6.0,hydrolakes,1000,1,fifo,acbba
scenario_fifo-acbba_29,29,1,2,4,60,1,1,10000,0.25,fibonacci,5000,1,fifo,acbba
scenario_fifo-acbba_30,30,3,8,3,30,10,1,1000,3.0,hydrolakes,5000,1,fifo,acbba
scenario_fifo-acbba_31,31,3,8,3,60,1,1,1000,6.0,fibonacci,5000,1,fifo,acbba
scenario_fifo-acbba_32,32,0,1,8,60,1,1,100,3.0,hydrolakes,1000,1,fifo,acbba
scenario_fifo-acbba_33,33,3,8,3,30,1,10,1000,3.0,inland,5000,1,fifo,acbba
scenario_fifo-acbba_34,34,0,1,8,60,1,1,10000,0.25,inland,5000,1,fifo,acbba
scenario_fifo-acbba_35,35,1,2,4,30,10,10,10000,6.0,fibonacci,10000,1,fifo,acbba
scenario_fifo-acbba_36,36,2,3,4,60,10,10,100,1.0,fibonacci,10000,1,fifo,acbba
scenario_fifo-acbba_37,37,2,3,4,30,1,10,10000,1.0,fibonacci,2500,1,fifo,acbba
scenario_fifo-acbba_38,38,2,3,4,30,1,10,1000,1.0,hydrolakes,2500,1,fifo,acbba
scenario_fifo-acbba_39,39,0,1,8,60,1,10,100,1.0,inland,10000,1,fifo,acbba
scenario_fifo-acbba_40,40,2,3,4,60,10,1,100,0.25,inland,5000,1,fifo,acbba
scenario_fifo-acbba_41,41,1,2,4,30,10,1,1000,0.25,fibonacci,5000,1,fifo,acbba
scenario_fifo-acbba_42,42,3,8,3,60,10,1,100,6.0,hydrolakes,5000,1,fifo,acbba
scenario_heuristic-none_0,0,0,1,8,60,10,10,100,1.0,fibonacci,2500,1,heuristic,none
scenario_heuristic-none_1,1,1,2,4,30,10,1,100,6.0,inland,1000,1,heuristic,none
scenario_heuristic-none_2,2,0,1,8,30,10,1,1000,1.0,fibonacci,5000,1,heuristic,none
scenario_heuristic-none_3,3,2,3,4,60,10,10,10000,3.0,inland,5000,1,heuristic,none
scenario_heuristic-none_4,4,2,3,4,30,1,10,100,0.25,hydrolakes,1000,1,heuristic,none
scenario_heuristic-none_5,5,0,1,8,60,10,10,10000,3.0,hydrolakes,2500,1,heuristic,none
scenario_heuristic-none_6,6,2,3,4,30,1,10,1000,6.0,inland,5000,1,heuristic,none
scenario_heuristic-none_7,7,0,1,8,60,10,1,100,0.25,inland,10000,1,heuristic,none
scenario_heuristic-none_8,8,3,8,3,60,10,10,10000,3.0,fibonacci,2500,1,heuristic,none
scenario_heuristic-none_9,9,1,2,4,30,1,10,1000,6.0,hydrolakes,2500,1,heuristic,none
scenario_heuristic-none_10,10,1,2,4,60,1,10,100,1.0,inland,5000,1,heuristic,none
scenario_heuristic-none_11,11,3,8,3,60,10,10,1000,0.25,fibonacci,2500,1,heuristic,none
scenario_heuristic-none_12,12,3,8,3,60,10,1,10000,1.0,fibonacci,1000,1,heuristic,none
scenario_heuristic-none_13,13,1,2,4,30,1,10,10000,3.0,inland,10000,1,heuristic,none
scenario_heuristic-none_14,14,3,8,3,60,10,1,100,0.25,fibonacci,1000,1,heuristic,none
scenario_heuristic-none_15,15,0,1,8,30,10,1,10000,6.0,inland,10000,1,heuristic,none
scenario_heuristic-none_16,16,3,8,3,30,10,1,10000,3.0,fibonacci,2500,1,heuristic,none
scenario_heuristic-none_17,17,2,3,4,30,10,1,1000,6.0,hydrolakes,1000,1,heuristic,none
scenario_heuristic-none_18,18,1,2,4,30,1,1,10000,0.25,inland,1000,1,heuristic,none
scenario_heuristic-none_19,19,3,8,3,30,10,1,1000,1.0,fibonacci,1000,1,heuristic,none
scenario_heuristic-none_20,20,1,2,4,30,1,1,100,1.0,hydrolakes,1000,1,heuristic,none
scenario_heuristic-none_21,21,0,1,8,60,1,10,1000,0.25,fibonacci,10000,1,heuristic,none
scenario_heuristic-none_22,22,3,8,3,60,10,10,1000,6.0,hydrolakes,1000,1,heuristic,none
scenario_heuristic-none_23,23,3,8,3,60,10,1,10000,1.0,fibonacci,2500,1,heuristic,none
scenario_heuristic-none_24,24,2,3,4,60,1,10,100,0.25,hydrolakes,2500,1,heuristic,none
scenario_heuristic-none_25,25,2,3,4,30,1,1,10000,6.0,inland,10000,1,heuristic,none
scenario_heuristic-none_26,26,0,1,8,60,1,10,1000,1.0,inland,2500,1,heuristic,none
scenario_heuristic-none_27,27,2,3,4,30,1,10,100,0.25,inland,2500,1,heuristic,none
scenario_heuristic-none_28,28,0,1,8,30,1,1,1000,6.0,hydrolakes,1000,1,heuristic,none
