Name,Scenario ID,Constellation,Number Planes,Number of Satellites per Plane,Field of Regard (deg),Field of View (deg),Maximum Slew Rate (deg/s),Number of Events per Day,Event Duration (hrs),Grid Type,Number of Ground-Points,Percent Ground-Points Considered,Preplanner,Replanner
scenario_fifo-acbba_0,0,1,2,4,30,1,10,10000,6.0,fibonacci,10000,0.3333333333333333,fifo,acbba
scenario_fifo-acbba_1,1,0,1,8,60,10,10,100,1.0,hydrolakes,2500,1.0,fifo,acbba
scenario_fifo-acbba_2,2,1,2,4,30,10,1,100,6.0,uniform,1000,1.0,fifo,acbba
scenario_fifo-acbba_3,3,0,1,8,30,10,1,1000,1.0,hydrolakes,5000,1.0,fifo,acbba
scenario_fifo-acbba_4,4,2,3,4,60,10,10,10000,3.0,uniform,5000,1.0,fifo,acbba
scenario_fifo-acbba_5,5,2,3,4,30,1,10,100,0.25,fibonacci,1000,0.3333333333333333,fifo,acbba
scenario_fifo-acbba_6,6,0,1,8,60,10,10,10000,3.0,fibonacci,2500,0.25,fifo,acbba
scenario_fifo-acbba_7,7,2,3,4,30,1,10,1000,6.0,uniform,5000,0.3333333333333333,fifo,acbba
scenario_fifo-acbba_8,8,0,1,8,60,10,1,100,0.25,uniform,10000,1.0,fifo,acbba
scenario_fifo-acbba_9,9,3,8,3,60,10,10,10000,3.0,hydrolakes,2500,0.5,fifo,acbba
scenario_fifo-acbba_10,10,1,2,4,30,1,10,1000,6.0,fibonacci,2500,1.0,fifo,acbba
scenario_fifo-acbba_11,11,1,2,4,60,1,10,100,1.0,uniform,5000,0.3333333333333333,fifo,acbba
scenario_fifo-acbba_12,12,3,8,3,60,10,10,1000,0.25,hydrolakes,2500,0.5,fifo,acbba
scenario_fifo-acbba_13,13,3,8,3,60,10,1,10000,1.0,hydrolakes,1000,0.3333333333333333,fifo,acbba
scenario_fifo-acbba_14,14,1,2,4,30,1,10,10000,3.0,uniform,10000,0.3333333333333333,fifo,acbba
scenario_fifo-acbba_15,15,3,8,3,60,10,1,100,0.25,hydrolakes,1000,0.25,fifo,acbba
scenario_fifo-acbba_16,16,0,1,8,30,1,10,100,3.0,fibonacci,10000,0.25,fifo,acbba
scenario_fifo-acbba_17,17,0,1,8,30,10,1,10000,6.0,uniform,10000,0.3333333333333333,fifo,acbba
scenario_fifo-acbba_18,18,3,8,3,30,10,1,10000,3.0,hydrolakes,2500,1.0,fifo,acbba
scenario_fifo-acbba_19,19,2,3,4,60,1,10,1000,3.0,fibonacci,10000,0.5,fifo,acbba
scenario_fifo-acbba_20,20,2,3,4,30,10,1,1000,6.0,fibonacci,1000,1.0,fifo,acbba
scenario_fifo-acbba_21,21,1,2,4,30,1,1,10000,0.25,uniform,1000,0.5,fifo,acbba
scenario_fifo-acbba_22,22,3,8,3,30,10,1,1000,1.0,hydrolakes,1000,0.25,fifo,acbba
scenario_fifo-acbba_23,23,1,2,4,30,1,1,100,1.0,fibonacci,1000,0.25,fifo,acbba
scenario_fifo-acbba_24,24,3,8,3,60,10,10,1000,6.0,fibonacci,1000,1.0,fifo,acbba
scenario_fifo-acbba_25,25,3,8,3,60,10,1,10000,1.0,hydrolakes,2500,0.5,fifo,acbba
scenario_fifo-acbba_26,26,2,3,4,60,1,10,100,0.25,fibonacci,2500,0.5,fifo,acbba
scenario_fifo-acbba_27,27,2,3,4,30,1,1,10000,6.0,uniform,10000,0.25,fifo,acbba
scenario_fifo-acbba_28,28,0,1,8,60,1,10,1000,1.0,uniform,2500,0.25,fifo,acbba
scenario_fifo-acbba_29,29,2,3,4,30,1,10,100,0.25,uniform,2500,0.25,fifo,acbba
scenario_fifo-acbba_30,30,0,1,8,30,1,1,1000,6.0,fibonacci,1000,0.5,fifo,acbba
scenario_fifo-acbba_31,31,1,2,4,60,1,1,10000,0.25,hydrolakes,5000,1.0,fifo,acbba
scenario_fifo-acbba_32,32,3,8,3,30,10,1,1000,3.0,fibonacci,5000,0.3333333333333333,fifo,acbba
scenario_fifo-acbba_33,33,3,8,3,60,1,1,1000,6.0,hydrolakes,5000,1.0,fifo,acbba
scenario_fifo-acbba_34,34,0,1,8,60,1,1,100,3.0,fibonacci,1000,0.5,fifo,acbba
scenario_fifo-acbba_35,35,3,8,3,30,1,10,1000,3.0,uniform,5000,0.3333333333333333,fifo,acbba
scenario_fifo-acbba_36,36,0,1,8,60,1,1,10000,0.25,uniform,5000,0.5,fifo,acbba
scenario_fifo-acbba_37,37,1,2,4,60,10,1,100,3.0,fibonacci,10000,0.25,fifo,acbba
scenario_fifo-acbba_38,38,2,3,4,30,1,10,10000,1.0,hydrolakes,2500,0.3333333333333333,fifo,acbba
scenario_fifo-acbba_39,39,2,3,4,30,1,10,1000,1.0,fibonacci,2500,0.5,fifo,acbba
scenario_fifo-acbba_40,40,0,1,8,60,1,10,100,1.0,uniform,10000,0.3333333333333333,fifo,acbba
scenario_fifo-acbba_41,41,2,3,4,60,10,1,100,0.25,uniform,5000,0.25,fifo,acbba
scenario_fifo-acbba_42,42,1,2,4,30,10,1,1000,0.25,hydrolakes,5000,0.3333333333333333,fifo,acbba
scenario_fifo-acbba_43,43,3,8,3,60,10,1,100,6.0,fibonacci,5000,0.5,fifo,acbba
scenario_fifo-none_0,0,1,2,4,30,1,10,10000,6.0,fibonacci,10000,0.3333333333333333,fifo,none
scenario_fifo-none_1,1,0,1,8,60,10,10,100,1.0,hydrolakes,2500,1.0,fifo,none
scenario_fifo-none_2,2,1,2,4,30,10,1,100,6.0,uniform,1000,1.0,fifo,none
scenario_fifo-none_3,3,0,1,8,30,10,1,1000,1.0,hydrolakes,5000,1.0,fifo,none
scenario_fifo-none_4,4,2,3,4,60,10,10,10000,3.0,uniform,5000,1.0,fifo,none
scenario_fifo-none_5,5,2,3,4,30,1,10,100,0.25,fibonacci,1000,0.3333333333333333,fifo,none
scenario_fifo-none_6,6,0,1,8,60,10,10,10000,3.0,fibonacci,2500,0.25,fifo,none
scenario_fifo-none_7,7,2,3,4,30,1,10,1000,6.0,uniform,5000,0.3333333333333333,fifo,none
scenario_fifo-none_8,8,0,1,8,60,10,1,100,0.25,uniform,10000,1.0,fifo,none
scenario_fifo-none_9,9,3,8,3,60,10,10,10000,3.0,hydrolakes,2500,0.5,fifo,none
scenario_fifo-none_10,10,1,2,4,30,1,10,1000,6.0,fibonacci,2500,1.0,fifo,none
scenario_fifo-none_11,11,1,2,4,60,1,10,100,1.0,uniform,5000,0.3333333333333333,fifo,none
scenario_fifo-none_12,12,3,8,3,60,10,10,1000,0.25,hydrolakes,2500,0.5,fifo,none
scenario_fifo-none_13,13,3,8,3,60,10,1,10000,1.0,hydrolakes,1000,0.3333333333333333,fifo,none
scenario_fifo-none_14,14,1,2,4,30,1,10,10000,3.0,uniform,10000,0.3333333333333333,fifo,none
scenario_fifo-none_15,15,3,8,3,60,10,1,100,0.25,hydrolakes,1000,0.25,fifo,none
scenario_fifo-none_16,16,0,1,8,30,1,10,100,3.0,fibonacci,10000,0.25,fifo,none
