Name,Scenario ID,Constellation,Number Planes,Number of Satellites per Plane,Field of Regard (deg),Field of View (deg),Maximum Slew Rate (deg/s),Number of Events per Day,Event Duration (hrs),Grid Type,Number of Ground-Points,Percent Ground-Points Considered,Grid Distribution,Preplanner,Replanner
scenario_fifo-none_0,0,1,2,4,60,1,1,1000,1.0,fibonacci,2500,1,global,fifo,none
scenario_fifo-none_1,1,1,2,4,60,1,1,100,0.25,uniform,10000,1,global,fifo,none
scenario_fifo-none_2,2,0,1,8,30,1,1,10000,1.0,hydrolakes,2500,1,inland,fifo,none
scenario_fifo-none_3,3,2,3,4,30,10,10,100,1.0,fibonacci,10000,1,inland,fifo,none
scenario_fifo-none_4,4,1,2,4,60,1,1,1000,0.25,hydrolakes,1000,1,inland,fifo,none
scenario_fifo-none_5,5,3,8,3,60,1,1,100,1.0,fibonacci,1000,1,global,fifo,none
scenario_fifo-none_6,6,2,3,4,30,1,10,100,0.25,uniform,2500,1,inland,fifo,none
scenario_fifo-none_7,7,1,2,4,30,1,10,1000,3.0,fibonacci,10000,1,global,fifo,none
scenario_fifo-none_8,8,1,2,4,60,10,1,100,6.0,uniform,1000,1,global,fifo,none
scenario_fifo-none_9,9,2,3,4,60,10,1,1000,3.0,fibonacci,5000,1,global,fifo,none
scenario_fifo-none_10,10,2,3,4,60,1,10,10000,3.0,hydrolakes,5000,1,inland,fifo,none
scenario_fifo-none_11,11,2,3,4,60,10,1,1000,1.0,fibonacci,10000,1,global,fifo,none
scenario_fifo-none_12,12,2,3,4,30,1,1,10000,3.0,fibonacci,5000,1,inland,fifo,none
scenario_fifo-none_13,13,0,1,8,60,10,1,100,1.0,uniform,10000,1,inland,fifo,none
scenario_fifo-none_14,14,0,1,8,60,1,1,1000,3.0,hydrolakes,1000,1,global,fifo,none
scenario_fifo-none_15,15,3,8,3,30,10,1,1000,3.0,fibonacci,1000,1,global,fifo,none
scenario_fifo-none_16,16,3,8,3,30,10,10,100,6.0,fibonacci,10000,1,global,fifo,none
scenario_fifo-none_17,17,0,1,8,60,1,1,100,1.0,uniform,2500,1,global,fifo,none
scenario_fifo-none_18,18,0,1,8,30,10,1,100,1.0,uniform,1000,1,inland,fifo,none
scenario_fifo-none_19,19,1,2,4,60,10,10,10000,3.0,uniform,5000,1,inland,fifo,none
scenario_fifo-none_20,20,1,2,4,60,10,10,10000,0.25,fibonacci,1000,1,inland,fifo,none
scenario_fifo-none_21,21,3,8,3,30,10,10,10000,3.0,uniform,2500,1,inland,fifo,none
scenario_fifo-none_22,22,2,3,4,60,1,1,10000,1.0,uniform,5000,1,global,fifo,none
scenario_fifo-none_23,23,0,1,8,30,10,1,10000,1.0,fibonacci,10000,1,inland,fifo,none
scenario_fifo-none_24,24,1,2,4,30,1,10,100,0.25,uniform,5000,1,global,fifo,none
scenario_fifo-none_25,25,3,8,3,60,10,1,1000,1.0,fibonacci,1000,1,global,fifo,none
scenario_fifo-none_26,26,0,1,8,60,1,10,10000,0.25,uniform,10000,1,inland,fifo,none
scenario_fifo-none_27,27,3,8,3,60,1,1,10000,0.25,uniform,10000,1,inland,fifo,none
scenario_fifo-none_28,28,3,8,3,30,1,1,1000,3.0,uniform,2500,1,inland,fifo,none
scenario_fifo-none_29,29,0,1,8,30,10,10,1000,3.0,uniform,10000,1,inland,fifo,none
scenario_fifo-none_30,30,1,2,4,30,1,10,100,6.0,hydrolakes,5000,1,inland,fifo,none
scenario_fifo-none_31,31,1,2,4,30,1,1,1000,0.25,hydrolakes,1000,1,global,fifo,none
scenario_fifo-none_32,32,3,8,3,60,1,10,100,3.0,uniform,2500,1,global,fifo,none
scenario_fifo-none_33,33,3,8,3,60,10,1,100,0.25,fibonacci,1000,1,inland,fifo,none
scenario_fifo-none_34,34,3,8,3,60,10,10,100,1.0,hydrolakes,5000,1,global,fifo,none
scenario_fifo-none_35,35,0,1,8,30,10,10,10000,0.25,hydrolakes,5000,1,inland,fifo,none
scenario_fifo-none_36,36,2,3,4,60,1,1,1000,6.0,hydrolakes,2500,1,global,fifo,none
scenario_fifo-none_37,37,0,1,8,60,10,10,100,6.0,fibonacci,5000,1,inland,fifo,none
scenario_fifo-none_38,38,3,8,3,30,10,10,1000,0.25,uniform,2500,1,inland,fifo,none
scenario_fifo-none_39,39,2,3,4,30,10,10,100,6.0,hydrolakes,5000,1,inland,fifo,none
scenario_fifo-none_40,40,2,3,4,60,10,10,1000,6.0,hydrolakes,5000,1,global,fifo,none
scenario_fifo-broadcaster_0,0,1,2,4,60,1,1,1000,1.0,fibonacci,2500,1,global,fifo,broadcaster
scenario_fifo-broadcaster_1,1,1,2,4,60,1,1,100,0.25,uniform,10000,1,global,fifo,broadcaster
scenario_fifo-broadcaster_2,2,0,1,8,30,1,1,10000,1.0,hydrolakes,2500,1,inland,fifo,broadcaster
scenario_fifo-broadcaster_3,3,2,3,4,30,10,10,100,1.0,fibonacci,10000,1,inland,fifo,broadcaster
scenario_fifo-broadcaster_4,4,1,2,4,60,1,1,1000,0.25,hydrolakes,1000,1,inland,fifo,broadcaster
scenario_fifo-broadcaster_5,5,3,8,3,60,1,1,100,1.0,fibonacci,1000,1,global,fifo,broadcaster
scenario_fifo-broadcaster_6,6,2,3,4,30,1,10,100,0.25,uniform,2500,1,inland,fifo,broadcaster
scenario_fifo-broadcaster_7,7,1,2,4,30,1,10,1000,3.0,fibonacci,10000,1,global,fifo,broadcaster
scenario_fifo-broadcaster_8,8,1,2,4,60,10,1,100,6.0,uniform,1000,1,global,fifo,broadcaster
scenario_fifo-broadcaster_9,9,2,3,4,60,10,1,1000,3.0,fibonacci,5000,1,global,fifo,broadcaster
scenario_fifo-broadcaster_10,10,2,3,4,60,1,10,10000,3.0,hydrolakes,5000,1,inland,fifo,broadcaster
scenario_fifo-broadcaster_11,11,2,3,4,60,10,1,1000,1.0,fibonacci,10000,1,global,fifo,broadcaster
scenario_fifo-broadcaster_12,12,2,3,4,30,1,1,10000,3.0,fibonacci,5000,1,inland,fifo,broadcaster
scenario_fifo-broadcaster_13,13,0,1,8,60,10,1,100,1.0,uniform,10000,1,inland,fifo,broadcaster
scenario_fifo-broadcaster_14,14,0,1,8,60,1,1,1000,3.0,hydrolakes,1000,1,global,fifo,broadcaster
scenario_fifo-broadcaster_15,15,3,8,3,30,10,1,1000,3.0,fibonacci,1000,1,global,fifo,broadcaster
scenario_fifo-broadcaster_16,16,3,8,3,30,10,10,100,6.0,fibonacci,10000,1,global,fifo,broadcaster
scenario_fifo-broadcaster_17,17,0,1,8,60,1,1,100,1.0,uniform,2500,1,global,fifo,broadcaster
scenario_fifo-broadcaster_18,18,0,1,8,30,10,1,100,1.0,uniform,1000,1,inland,fifo,broadcaster
scenario_fifo-broadcaster_19,19,1,2,4,60,10,10,10000,3.0,uniform,5000,1,inland,fifo,broadcaster
scenario_fifo-broadcaster_20,20,1,2,4,60,10,10,10000,0.25,fibonacci,1000,1,inland,fifo,broadcaster
scenario_fifo-broadcaster_21,21,3,8,3,30,10,10,10000,3.0,uniform,2500,1,inland,fifo,broadcaster
scenario_fifo-broadcaster_22,22,2,3,4,60,1,1,10000,1.0,uniform,5000,1,global,fifo,broadcaster
scenario_fifo-broadcaster_23,23,0,1,8,30,10,1,10000,1.0,fibonacci,10000,1,inland,fifo,broadcaster
scenario_fifo-broadcaster_24,24,1,2,4,30,1,10,100,0.25,uniform,5000,1,global,fifo,broadcaster
scenario_fifo-broadcaster_25,25,3,8,3,60,10,1,1000,1.0,fibonacci,1000,1,global,fifo,broadcaster
scenario_fifo-broadcaster_26,26,0,1,8,60,1,10,10000,0.25,uniform,10000,1,inland,fifo,broadcaster
scenario_fifo-broadcaster_27,27,3,8,3,60,1,1,10000,0.25,uniform,10000,1,inland,fifo,broadcaster
scenario_fifo-broadcaster_28,28,3,8,3,30,1,1,1000,3.0,uniform,2500,1,inland,fifo,broadcaster
scenario_fifo-broadcaster_29,29,0,1,8,30,10,10,1000,3.0,uniform,10000,1,inland,fifo,broadcaster
scenario_fifo-broadcaster_30,30,1,2,4,30,1,10,100,6.0,hydrolakes,5000,1,inland,fifo,broadcaster
scenario_fifo-broadcaster_31,31,1,2,4,30,1,1,1000,0.25,hydrolakes,1000,1,global,fifo,broadcaster
scenario_fifo-broadcaster_32,32,3,8,3,60,1,10,100,3.0,uniform,2500,1,global,fifo,broadcaster
