Name,Constellation,Number Planes,Number of Satellites per Plane,Field of Regard (deg),Field of View (deg),Maximum Slew Rate (deg/s),Number of Events per Day,Event Duration (hrs),Grid Type,Number of Ground-Points,Percent Ground-Points Considered,Preplanner,Replanner
scenario_fifo-acbba_0,0,1,8,30,10,10,1000,6.0,uniform,10000,0.2,fifo,acbba
scenario_fifo-acbba_1,0,1,8,30,1,10,10,3.0,fibonacci,5000,0.5,fifo,acbba
scenario_fifo-acbba_2,2,3,4,60,1,10,10,3.0,fibonacci,100,1.0,fifo,acbba
scenario_fifo-acbba_3,1,2,4,30,1,1,1000,1.0,fibonacci,10000,0.5,fifo,acbba
scenario_fifo-acbba_4,3,8,3,30,1,1,1000,1.0,uniform,10000,0.25,fifo,acbba
scenario_fifo-acbba_5,1,2,4,30,10,1,10,0.25,hydrolakes,100,0.3333333333333333,fifo,acbba
scenario_fifo-acbba_6,0,1,8,60,10,1,100,1.0,fibonacci,5000,0.2,fifo,acbba
scenario_fifo-acbba_7,3,8,3,60,1,1,1000,1.0,hydrolakes,1000,0.2,fifo,acbba
scenario_fifo-acbba_8,2,3,4,30,10,1,100,6.0,uniform,1000,0.5,fifo,acbba
scenario_fifo-acbba_9,2,3,4,60,1,1,10000,1.0,uniform,1000,0.25,fifo,acbba
scenario_fifo-acbba_10,0,1,8,60,1,10,10,6.0,uniform,1000,0.3333333333333333,fifo,acbba
scenario_fifo-acbba_11,2,3,4,30,1,10,10,6.0,uniform,5000,0.3333333333333333,fifo,acbba
scenario_fifo-acbba_12,0,1,8,60,1,1,10000,3.0,hydrolakes,5000,0.3333333333333333,fifo,acbba
scenario_fifo-acbba_13,0,1,8,60,10,1,100,3.0,fibonacci,10000,0.2,fifo,acbba
scenario_fifo-acbba_14,1,2,4,60,10,1,10,0.25,hydrolakes,100,1.0,fifo,acbba
scenario_fifo-acbba_15,2,3,4,30,1,1,10,6.0,uniform,1000,0.2,fifo,acbba
scenario_fifo-acbba_16,3,8,3,60,10,10,100,1.0,uniform,5000,1.0,fifo,acbba
scenario_fifo-acbba_17,2,3,4,60,1,10,1000,1.0,uniform,5000,0.25,fifo,acbba
scenario_fifo-acbba_18,2,3,4,30,1,10,10000,0.25,uniform,10000,0.25,fifo,acbba
scenario_fifo-acbba_19,3,8,3,30,10,1,10000,0.25,fibonacci,10000,0.2,fifo,acbba
scenario_fifo-acbba_20,2,3,4,30,10,1,1000,0.25,fibonacci,10000,0.25,fifo,acbba
scenario_fifo-acbba_21,1,2,4,30,10,10,10000,1.0,hydrolakes,1000,1.0,fifo,acbba
scenario_fifo-acbba_22,1,2,4,30,10,1,10,0.25,uniform,10000,0.3333333333333333,fifo,acbba
scenario_fifo-acbba_23,1,2,4,60,1,10,1000,1.0,fibonacci,10000,0.25,fifo,acbba
scenario_fifo-acbba_24,3,8,3,60,10,1,1000,3.0,fibonacci,10000,0.5,fifo,acbba
scenario_fifo-acbba_25,1,2,4,30,10,10,10,1.0,fibonacci,5000,0.25,fifo,acbba
scenario_fifo-acbba_26,0,1,8,30,10,1,100,6.0,hydrolakes,1000,0.3333333333333333,fifo,acbba
scenario_fifo-acbba_27,0,1,8,30,10,10,10,0.25,uniform,5000,0.25,fifo,acbba
scenario_fifo-acbba_28,2,3,4,30,1,10,100,3.0,hydrolakes,1000,0.2,fifo,acbba
scenario_fifo-acbba_29,3,8,3,60,1,1,100,0.25,fibonacci,1000,0.3333333333333333,fifo,acbba
scenario_fifo-acbba_30,1,2,4,60,1,10,10,3.0,fibonacci,5000,0.3333333333333333,fifo,acbba
scenario_fifo-acbba_31,2,3,4,30,10,10,100,1.0,uniform,100,0.2,fifo,acbba
scenario_fifo-acbba_32,1,2,4,60,1,10,100,6.0,fibonacci,100,0.25,fifo,acbba
scenario_fifo-acbba_33,1,2,4,60,10,1,100,0.25,fibonacci,100,0.3333333333333333,fifo,acbba
scenario_fifo-acbba_34,2,3,4,60,1,10,1000,1.0,hydrolakes,5000,0.5,fifo,acbba
scenario_fifo-acbba_35,3,8,3,30,1,1,10000,3.0,hydrolakes,5000,0.5,fifo,acbba
scenario_fifo-acbba_36,0,1,8,30,1,1,10,6.0,hydrolakes,5000,0.2,fifo,acbba
scenario_fifo-acbba_37,1,2,4,60,10,10,1000,6.0,uniform,1000,0.2,fifo,acbba
scenario_fifo-acbba_38,1,2,4,60,10,10,100,6.0,uniform,100,0.5,fifo,acbba
scenario_fifo-acbba_39,3,8,3,30,10,10,100,1.0,hydrolakes,1000,0.2,fifo,acbba
scenario_fifo-acbba_40,2,3,4,30,10,10,100,3.0,uniform,5000,0.5,fifo,acbba
scenario_fifo-acbba_41,2,3,4,60,1,10,10000,0.25,uniform,5000,0.5,fifo,acbba
scenario_fifo-acbba_42,0,1,8,60,1,1,10,0.25,fibonacci,100,1.0,fifo,acbba
scenario_fifo-acbba_43,3,8,3,30,10,10,10,1.0,hydrolakes,5000,1.0,fifo,acbba
scenario_fifo-acbba_44,0,1,8,30,1,10,10,1.0,fibonacci,10000,1.0,fifo,acbba
scenario_fifo-acbba_45,2,3,4,30,10,10,1000,0.25,hydrolakes,1000,0.2,fifo,acbba
scenario_fifo-acbba_46,1,2,4,60,10,1,100,0.25,fibonacci,100,0.3333333333333333,fifo,acbba
scenario_fifo-none_0,0,1,8,30,10,10,1000,6.0,uniform,10000,0.2,fifo,none
scenario_fifo-none_1,0,1,8,30,1,10,10,3.0,fibonacci,5000,0.5,fifo,none
scenario_fifo-none_2,2,3,4,60,1,10,10,3.0,fibonacci,100,1.0,fifo,none
scenario_fifo-none_3,1,2,4,30,1,1,1000,1.0,fibonacci,10000,0.5,fifo,none
scenario_fifo-none_4,3,8,3,30,1,1,1000,1.0,uniform,10000,0.25,fifo,none
scenario_fifo-none_5,1,2,4,30,10,1,10,0.25,hydrolakes,100,0.3333333333333333,fifo,none
scenario_fifo-none_6,0,1,8,60,10,1,100,1.0,fibonacci,5000,0.2,fifo,none
scenario_fifo-none_7,3,8,3,60,1,1,1000,1.0,hydrolakes,1000,0.2,fifo,none
scenario_fifo-none_8,2,3,4,30,10,1,100,6.0,uniform,1000,0.5,fifo,none
scenario_fifo-none_9,2,3,4,60,1,1,10000,1.0,uniform,1000,0.25,fifo,none
scenario_fifo-none_10,0,1,8,60,1,10,10,6.0,uniform,1000,0.3333333333333333,fifo,none
