routine,t_avg,t_std,t_med,n,t_total
_read_incoming_messages,0.00086,0.00398,2e-05,1169,1.00534
__check_action_completion,8e-05,0.00019,6e-05,1169,0.09352
update_action_completion,4e-05,3e-05,4e-05,1169,0.04676
get_plan_out,0.0002,0.00104,8e-05,1169,0.2338
preplanner/update_percepts,0.00014,0.00082,0.0001,1169,0.16365999999999997
preplanner/needs_planning,0.0,0.0,0.0,1169,0.0
preplanner/calculate_access_opportunities,0.00102,0.0,0.00102,1,0.00102
preplanner/_schedule_observations,0.08734,0.0,0.08734,1,0.08734
preplanner/is_observation_path_valid,0.00014,0.0,0.00014,1,0.00014
preplanner/_create_broadcast_path,0.01722,0.0,0.01722,1,0.01722
preplanner/_schedule_broadcasts,0.13145,0.0,0.13145,1,0.13145
preplanner/_schedule_maneuvers,0.0941,0.0,0.0941,1,0.0941
preplanner/__schedule_periodic_replan,0.00104,0.0,0.00104,1,0.00104
preplanner/generate_plan,0.31654,0.0,0.31654,1,0.31654
replanner/compile_new_measurement_request_bids,1e-05,1e-05,1e-05,1169,0.01169
replanner/update_percepts,0.00025,0.0005,0.00018,1169,0.29225
replanner/check_request_completion,0.01298,0.01639,0.00806,1169,15.17362
replanner/check_request_end_time,0.0,0.0,0.0,1169,0.0
replanner/compare_bids,0.00842,0.01288,0.00407,1169,9.84298
replanner/consensus_phase,0.02142,0.02522,0.01535,1169,25.039980000000003
replanner/needs_planning,0.02155,0.02515,0.01543,1169,25.19195
replanner/_generate_bids_from_request,1e-05,0.0,1e-05,112,0.0011200000000000001
replanner/_get_matching_request,1e-05,1e-05,1e-05,3218,0.03218
replanner/_can_bid,0.0,0.0,0.0,2715,0.0
replanner/_get_available_requests,0.00266,0.00193,0.00239,122,0.32452000000000003
replanner/planning_phase,0.00308,0.00196,0.00268,61,0.18788
replanner/is_observation_path_valid,7e-05,0.00026,5e-05,1532,0.10723999999999999
replanner/merge_plans,0.00239,0.00321,0.00149,61,0.14579
replanner/_schedule_observations,0.00239,0.00322,0.0015,61,0.14579
replanner/_schedule_maneuvers,0.04045,0.03841,0.02466,61,2.46745
replanner/_create_broadcast_path,0.01818,0.00332,0.01696,68,1.23624
replanner/_schedule_broadcasts,0.02074,0.00723,0.01743,61,1.2651400000000002
replanner/_schedule_waits,0.0,0.0,0.0,61,0.0
replanner/generate_plan,0.06726,0.038,0.05416,61,4.10286
replanner/_can_access,0.00028,0.00015,0.00024,997,0.27915999999999996
reward_grid/update,2e-05,4e-05,0.0,1170,0.0234
reward_grid/__get_target_indeces,1e-05,0.0,1e-05,189,0.0018900000000000002
reward_grid/propagate_reward,3e-05,1e-05,3e-05,378,0.011340000000000001
reward_grid/update_observation,9e-05,2e-05,8e-05,133,0.011970000000000001
reward_grid/update_event,0.00011,5e-05,0.0001,56,0.0061600000000000005
reward_grid/get_history,0.00174,0.0,0.00174,1,0.00174
