stat_name,val
Simulation Start Date,2020-01-01 00:00:00+00:00
Simulation End Date,2020-01-02 00:00:00+00:00
Ground Points,1000
Ground Points Observed,673
Events,1000
Events Detected,33
Events Observed,35
Observations,1541
Event Observations,40
Events Re-observed,4
Event Re-observations,9
Events Co-observed,35
Events Partially Co-observed,1
Events Fully Co-observed,3
Event Co-observations,40
P(Event Detected),0.033
P(Event Observed),0.035
P(Event Re-observed),0.004
P(Event Co-observed),0.035
P(Event Partially Co-observed),0.001
P(Event Fully Co-observed),0.003
P(Event at a GP),0.631
P(Event Observation | Observation),0.02271
P(Event Observed | Event Detected),1.0
P(Event Re-oberved | Event Detected),0.12121
P(Event Co-observed | Event Detected),1.0
P(Event Co-observed Partially | Event Detected),0.0303
P(Event Co-observed Fully | Event Detected),0.09091
Total Runtime [s],345.79554
