stat_name,val
Simulation Start Date,2020-01-01 00:00:00+00:00
Simulation End Date,2020-01-02 00:00:00+00:00
Ground Points,1000
Ground Points Observed,47
Events,1000
Events Detected,0
Events Observed,0
Observations,51
Event Observations,0
Events Re-observed,0
Event Re-observations,0
Events Co-observed,0
Events Partially Co-observed,0
Events Fully Co-observed,0
Event Co-observations,0
P(Event Detected),0.0
P(Event Observed),0.0
P(Event Re-observed),0.0
P(Event Co-observed),0.0
P(Event Partially Co-observed),0.0
P(Event Fully Co-observed),0.0
P(Event at a GP),0.626
P(Event Observation | Observation),0.0
P(Event Observed | Event Detected),
P(Event Re-oberved | Event Detected),
P(Event Co-observed | Event Detected),
P(Event Co-observed Partially | Event Detected),
P(Event Co-observed Fully | Event Detected),
Total Runtime [s],32.05494
