stat_name,val
Simulation Start Date,2020-01-01 00:00:00+00:00
Simulation End Date,2020-01-02 00:00:00+00:00
Ground Points,10000
Ground Points Observed,4590
Events,10000
Events Detected,45
Events Observed,45
Observations,7026
Event Observations,45
Events Re-observed,0
Event Re-observations,0
Events Co-observed,45
Events Partially Co-observed,0
Events Fully Co-observed,0
Event Co-observations,45
P(Event Detected),0.0045
P(Event Observed),0.0045
P(Event Re-observed),0.0
P(Event Co-observed),0.0045
P(Event Partially Co-observed),0.0
P(Event Fully Co-observed),0.0
P(Event at a GP),0.6314
P(Event Observation | Observation),0.0064
P(Event Observed | Event Detected),1.0
P(Event Re-oberved | Event Detected),0.0
P(Event Co-observed | Event Detected),1.0
P(Event Co-observed Partially | Event Detected),0.0
P(Event Co-observed Fully | Event Detected),0.0
Total Runtime [s],568.28582
