Name,Constellation,Number Planes,Number of Satellites per Plane,Field of Regard (deg),Field of View (deg),Maximum Slew Rate (deg/s),Number of Events per Day,Event Duration (hrs),Grid Type,Number of Ground-Points,Preplanner,Percent Ground-Points Considered
experiment_0,1,2,4,30,1,10,1000,6.0,fibonacci,1000,nadir,0.6
experiment_1,0,1,8,30,5,1,10,6.0,fibonacci,10000,fifo,0.1
experiment_2,0,1,8,30,5,1,1000,3.0,fibonacci,1000,nadir,0.7
experiment_3,3,8,3,30,10,10,10000,0.25,uniform,1000,nadir,0.7
experiment_5,0,1,8,30,1,10,10,1.0,hydrolakes,100,fifo,1.0
experiment_6,0,1,8,30,5,10,10000,1.0,hydrolakes,1000,fifo,0.8
experiment_7,3,8,3,30,5,1,1000,6.0,hydrolakes,1000,fifo,0.8
experiment_8,0,1,8,60,1,10,100,0.25,uniform,100,nadir,0.1
experiment_9,1,2,4,30,1,1,10,0.25,hydrolakes,5000,nadir,0.2
experiment_10,1,2,4,60,1,10,100,0.25,hydrolakes,1000,fifo,1.0
experiment_11,3,8,3,60,10,1,100,0.25,uniform,5000,fifo,1.0
experiment_12,0,1,8,30,1,1,100,1.0,hydrolakes,5000,fifo,0.3
experiment_13,1,2,4,60,5,10,100,3.0,hydrolakes,5000,nadir,0.7
experiment_14,3,8,3,30,10,1,10000,6.0,fibonacci,10000,nadir,0.7
experiment_15,1,2,4,60,1,1,10,6.0,uniform,100,nadir,0.2
experiment_16,3,8,3,30,5,10,100,1.0,hydrolakes,1000,nadir,0.5
experiment_18,1,2,4,30,5,1,10,1.0,uniform,100,nadir,0.8
experiment_19,3,8,3,30,10,1,1000,0.25,fibonacci,5000,fifo,0.8
experiment_20,2,3,4,30,5,1,1000,1.0,hydrolakes,5000,nadir,1.0
experiment_21,3,8,3,30,5,1,1000,0.25,fibonacci,5000,nadir,0.7
experiment_22,2,3,4,30,10,1,1000,0.25,fibonacci,10000,nadir,0.6
