stat_name,val
Simulation Start Date,2020-01-01 00:00:00+00:00
Simulation End Date,2020-01-02 00:00:00+00:00
Ground Points,1000
Ground Points Observed,3
Events,1000
Events Detected,1
Events Observed,1
Observations,3
Event Observations,1
Events Re-observed,0
Event Re-observations,0
Events Co-observed,1
Events Partially Co-observed,0
Events Fully Co-observed,0
Event Co-observations,1
P(Event Detected),0.001
P(Event Observed),0.001
P(Event Re-observed),0.0
P(Event Co-observed),0.001
P(Event Partially Co-observed),0.0
P(Event Fully Co-observed),0.0
P(Event at a GP),0.652
P(Event Observation | Observation),0.33333
P(Event Observed | Event Detected),1.0
P(Event Re-oberved | Event Detected),0.0
P(Event Co-observed | Event Detected),1.0
P(Event Co-observed Partially | Event Detected),0.0
P(Event Co-observed Fully | Event Detected),0.0
Total Runtime [s],3.73096
