stat_name,val
Simulation Start Date,2020-01-01 00:00:00+00:00
Simulation End Date,2020-01-02 00:00:00+00:00
Ground Points,1000
Ground Points Observed,41
Events,1000
Events Detected,1
Events Observed,2
Observations,44
Event Observations,2
Events Re-observed,0
Event Re-observations,0
Events Co-observed,2
Events Partially Co-observed,0
Events Fully Co-observed,0
Event Co-observations,2
P(Event Detected),0.001
P(Event Observed),0.002
P(Event Re-observed),0.0
P(Event Co-observed),0.002
P(Event Partially Co-observed),0.0
P(Event Fully Co-observed),0.0
P(Event at a GP),0.645
P(Event Observation | Observation),0.04545
P(Event Observed | Event Detected),1.0
P(Event Re-oberved | Event Detected),0.0
P(Event Co-observed | Event Detected),1.0
P(Event Co-observed Partially | Event Detected),0.0
P(Event Co-observed Fully | Event Detected),0.0
Total Runtime [s],48.25467
