stat_name,val
Simulation Start Date,2020-01-01 00:00:00+00:00
Simulation End Date,2020-01-02 00:00:00+00:00
Ground Points,5001
Ground Points Observed,1653
Observations,15728
Events,1000
Events Detected,44
Events Observed,44
Total Event Observations,235
Events Re-observed,44
Total Event Re-observations,235
Events Co-observed,44
Events Partially Co-observed,44
Events Fully Co-observed,0
Total Event Co-observations,235
P(Event Detected),0.044
P(Event Observed),0.044
P(Event Re-observed),0.044
P(Event Co-observed),0.044
P(Event Partially Co-observed),0.044
P(Event Fully Co-observed),0.0
P(Event at a GP),0.179
P(Event Observed | Event Detected),1.0
P(Event Re-oberved | Event Detected),1.0
P(Event Co-observed | Event Detected),1.0
P(Event Co-observed Partially | Event Detected),1.0
P(Event Co-observed Fully | Event Detected),0.0
Total Runtime [s],3264.843
