gp_index,lat [deg],lon [deg],start time [s],duration [s],severity,event type,decorrelation time [s],id
101,32.268263785922215,-8.023194997388147,67163.61392932873,3600.0,1.0822215302562381,algal bloom,2411.372014413299,218d54ae-2f46-11f0-ab21-b42e993745e8
169,26.018078682730525,-20.77322094394094,34007.8025705863,3600.0,1.0470260272051999,algal bloom,226.58366921892664,218d54af-2f46-11f0-ab21-b42e993745e8
133,54.91533976411445,57.15569343399231,46196.67526308382,3600.0,1.060447437893863,algal bloom,3521.91261928463,218d54b0-2f46-11f0-ab21-b42e993745e8
695,-99.47408060886067,61.165655284122586,19165.21854695257,3600.0,1.0035623665130897,algal bloom,866.5434756221315,218d54b1-2f46-11f0-ab21-b42e993745e8
682,-112.13833557542958,70.95013853169147,42235.40509879557,3600.0,1.0038076588816087,algal bloom,730.8439586425934,218d54b2-2f46-11f0-ab21-b42e993745e8
187,-49.44703821475199,-21.47291772582649,31663.74535910849,3600.0000000000036,1.0408934707445714,algal bloom,2873.4751257973207,218d54b3-2f46-11f0-ab21-b42e993745e8
499,-46.229687250961845,81.77715400960165,3518.4151487483223,3600.0,1.0088713816240036,algal bloom,3507.4432633601828,218d54b4-2f46-11f0-ab21-b42e993745e8
727,-48.132917692176896,81.86687315484774,12332.03688773093,3600.0,1.0029822495138219,algal bloom,3566.549680910481,218d54b5-2f46-11f0-ab21-b42e993745e8
23,14.123397760112791,13.435129913896672,35918.91211679763,3600.0,1.316951722931491,algal bloom,3196.8420768055043,218d54b6-2f46-11f0-ab21-b42e993745e8
733,-67.64815616372371,51.844387354807445,66095.06267320321,3600.0,1.0029277960096306,algal bloom,1928.885171462454,218d54b7-2f46-11f0-ab21-b42e993745e8
557,-129.47408690211225,61.39877306236802,70111.85581246574,3600.0,1.0069179111107194,algal bloom,3404.1293590171404,218d54b8-2f46-11f0-ab21-b42e993745e8
111,-123.32953549109408,55.91246730437952,15222.131329985044,3600.0,1.0762212999075362,algal bloom,2515.1607344747085,218d54b9-2f46-11f0-ab21-b42e993745e8
1,-87.6163536563298,47.54311968392319,21787.655170610447,3600.0,3.5179655064975157,algal bloom,1029.4283087126685,218d54ba-2f46-11f0-ab21-b42e993745e8
874,106.32772214666,11.46692259034352,27134.96370274141,3600.0,1.0011654274892952,algal bloom,59.53926361920203,218d54bb-2f46-11f0-ab21-b42e993745e8
788,-48.14231809769157,-13.58639992188642,22180.682131229227,3600.0,1.002163914083842,algal bloom,1866.908261240805,218d54bc-2f46-11f0-ab21-b42e993745e8
299,90.73729605675454,28.944254159565503,47355.53899324922,3600.0,1.020630603763294,algal bloom,699.5904361191405,218d54bd-2f46-11f0-ab21-b42e993745e8
233,-45.25395243127259,-18.644162263007185,32928.44859660207,3600.0,1.0296909830727174,algal bloom,3549.0302947979685,218d54be-2f46-11f0-ab21-b42e993745e8
916,160.210019209937,54.79482867368585,20003.417459616605,3600.0,1.000804816492188,algal bloom,2229.949213183273,218d54bf-2f46-11f0-ab21-b42e993745e8
385,-20.878366720261663,77.05175458613225,86255.8172339135,3600.0,1.0133419211579806,algal bloom,430.923627746887,218d54c0-2f46-11f0-ab21-b42e993745e8
287,-75.71700496334836,48.63309011676371,39588.895461359476,3600.0,1.0215764394765812,algal bloom,1745.9272723360289,218d54c1-2f46-11f0-ab21-b42e993745e8
976,-108.025074177256,69.61589784691893,40709.93091778367,3600.0,1.000193891357075,algal bloom,3416.383668357675,218d54c2-2f46-11f0-ab21-b42e993745e8
667,-50.0851818702204,65.1282535560564,1031.9735163635432,3600.0,1.0040662660762985,algal bloom,514.4427658558269,218d54c3-2f46-11f0-ab21-b42e993745e8
