Name,Constellation,Number Planes,Number of Satellites per Plane,Field of Regard (deg),Field of View (deg),Maximum Slew Rate (deg/s),Number of Events per Day,Event Duration (hrs),Grid Type,Number of Ground-Points
experiment_0,1,0,8,30,5,1,1000,6.0,grid0,8013
experiment_1,3,2,4,60,10,10,1000,0.25,grid0,8013
experiment_2,8,3,3,30,1,10,10,0.25,grid0,8013
experiment_3,1,0,8,30,5,10,10,1.0,grid0,8013
experiment_4,8,3,3,60,10,10,1000,6.0,grid0,8013
experiment_5,1,0,8,30,10,10,100,0.25,grid0,8013
experiment_6,1,0,8,30,5,10,100,6.0,grid0,8013
experiment_7,2,1,4,60,5,10,1000,3.0,grid0,8013
experiment_8,3,2,4,60,5,1,100,0.25,grid0,8013
experiment_9,1,0,8,30,1,10,1000,6.0,grid0,8013
experiment_10,3,2,4,60,1,1,1000,1.0,grid0,8013
experiment_11,8,3,3,30,1,10,100,0.25,grid0,8013
experiment_12,8,3,3,30,5,10,1000,3.0,grid0,8013
experiment_13,8,3,3,30,1,1,10,3.0,grid0,8013
experiment_14,2,1,4,60,1,10,1000,3.0,grid0,8013
experiment_15,2,1,4,30,1,10,100,0.25,grid0,8013
experiment_16,3,2,4,60,10,1,1000,0.25,grid0,8013
experiment_17,1,0,8,30,10,1,10,3.0,grid0,8013
experiment_18,2,1,4,30,10,10,100,6.0,grid0,8013
experiment_19,8,3,3,30,5,1,1000,3.0,grid0,8013
experiment_20,2,1,4,30,5,1,100,6.0,grid0,8013
experiment_21,2,1,4,60,10,10,10,1.0,grid0,8013
experiment_22,3,2,4,60,5,10,10,6.0,grid0,8013
experiment_23,8,3,3,60,10,1,100,3.0,grid0,8013
experiment_24,3,2,4,60,10,1,10,0.25,grid0,8013
experiment_25,1,0,8,30,10,1,100,1.0,grid0,8013
experiment_26,3,2,4,60,5,1,1000,3.0,grid0,8013
experiment_27,3,2,4,30,10,10,10,3.0,grid0,8013
experiment_28,2,1,4,30,1,10,1000,0.25,grid0,8013
experiment_29,2,1,4,30,5,1,10,6.0,grid0,8013
experiment_30,8,3,3,30,1,1,100,1.0,grid0,8013
experiment_31,1,0,8,60,1,1,1000,0.25,grid0,8013
experiment_32,2,1,4,60,10,1,10,3.0,grid0,8013
experiment_33,1,0,8,60,10,1,10,6.0,grid0,8013
experiment_34,1,0,8,60,5,1,100,3.0,grid0,8013
experiment_35,8,3,3,30,1,10,10,1.0,grid0,8013
experiment_36,3,2,4,60,5,10,10,1.0,grid0,8013
experiment_37,1,0,8,30,1,1,100,1.0,grid0,8013
experiment_38,2,1,4,60,5,1,10,6.0,grid0,8013
experiment_39,3,2,4,30,10,1,100,6.0,grid0,8013
experiment_40,8,3,3,60,1,10,10,0.25,grid0,8013
experiment_41,1,0,8,60,10,10,1000,1.0,grid0,8013
experiment_42,3,2,4,60,5,1,1000,6.0,grid0,8013
experiment_43,2,1,4,60,1,10,1000,3.0,grid0,8013
experiment_44,3,2,4,60,10,1,100,1.0,grid0,8013
experiment_45,8,3,3,30,5,10,100,1.0,grid0,8013
experiment_46,2,1,4,30,1,1,100,1.0,grid0,8013
experiment_47,8,3,3,60,1,10,10,0.25,grid0,8013
