Name,Scenario ID,Constellation,Number Planes,Number of Satellites per Plane,Field of Regard (deg),Field of View (deg),Maximum Slew Rate (deg/s),Number of Events per Day,Event Duration (hrs),Grid Type,Number of Ground-Points,Percent Ground-Points Considered,Preplanning Period,Ground-Station Network,Planner,Model
scenario_nadir-none_0,0,3,8,3,60,1.0,1.0,100,0.25,hydrolakes,1000,1,200,gs_lakes,nadir,none
scenario_worker-linear_0,0,3,8,3,60,1.0,1.0,100,0.25,hydrolakes,1000,1,200,gs_lakes,worker,linear
scenario_worker-static_0,0,3,8,3,60,1.0,1.0,100,0.25,hydrolakes,1000,1,200,gs_lakes,worker,static
scenario_nadir-none_1,1,1,2,4,60,1.0,10.0,10000,0.25,fibonacci,1000,1,200,gs_nen,nadir,none
scenario_worker-linear_1,1,1,2,4,60,1.0,10.0,10000,0.25,fibonacci,1000,1,200,gs_nen,worker,linear
scenario_worker-static_1,1,1,2,4,60,1.0,10.0,10000,0.25,fibonacci,1000,1,200,gs_nen,worker,static
scenario_nadir-none_2,2,2,3,4,60,10.0,1.0,1000,6.0,fibonacci,1000,1,200,gs_lakes,nadir,none
scenario_worker-linear_2,2,2,3,4,60,10.0,1.0,1000,6.0,fibonacci,1000,1,200,gs_lakes,worker,linear
scenario_worker-static_2,2,2,3,4,60,10.0,1.0,1000,6.0,fibonacci,1000,1,200,gs_lakes,worker,static
scenario_nadir-none_3,3,3,8,3,60,10.0,1.0,100,0.25,fibonacci,1000,1,500,gs_nen,nadir,none
scenario_worker-linear_3,3,3,8,3,60,10.0,1.0,100,0.25,fibonacci,1000,1,500,gs_nen,worker,linear
scenario_worker-static_3,3,3,8,3,60,10.0,1.0,100,0.25,fibonacci,1000,1,500,gs_nen,worker,static
scenario_nadir-none_4,4,1,2,4,60,1.0,1.0,10000,1.0,fibonacci,1000,1,1000,gs_nen,nadir,none
scenario_worker-linear_4,4,1,2,4,60,1.0,1.0,10000,1.0,fibonacci,1000,1,1000,gs_nen,worker,linear
scenario_worker-static_4,4,1,2,4,60,1.0,1.0,10000,1.0,fibonacci,1000,1,1000,gs_nen,worker,static
scenario_worker-linear_5,5,2,3,4,60,1.0,1.0,1000,3.0,fibonacci,1000,1,500,gs_lakes,worker,linear
scenario_worker-static_5,5,2,3,4,60,1.0,1.0,1000,3.0,fibonacci,1000,1,500,gs_lakes,worker,static
scenario_nadir-none_5,5,2,3,4,60,1.0,1.0,1000,3.0,fibonacci,1000,1,500,gs_lakes,nadir,none
scenario_worker-static_6,6,0,1,8,60,1.0,10.0,1000,3.0,hydrolakes,1000,1,500,gs_lakes,worker,static
scenario_worker-linear_6,6,0,1,8,60,1.0,10.0,1000,3.0,hydrolakes,1000,1,500,gs_lakes,worker,linear
scenario_nadir-none_6,6,0,1,8,60,1.0,10.0,1000,3.0,hydrolakes,1000,1,500,gs_lakes,nadir,none
scenario_worker-static_7,7,3,8,3,60,10.0,1.0,1000,6.0,hydrolakes,1000,1,200,gs_nen,worker,static
scenario_worker-linear_7,7,3,8,3,60,10.0,1.0,1000,6.0,hydrolakes,1000,1,200,gs_nen,worker,linear
scenario_nadir-none_7,7,3,8,3,60,10.0,1.0,1000,6.0,hydrolakes,1000,1,200,gs_nen,nadir,none
scenario_nadir-none_8,8,2,3,4,60,1.0,1.0,100,3.0,fibonacci,1000,1,200,gs_nen,nadir,none
scenario_worker-static_8,8,2,3,4,60,1.0,1.0,100,3.0,fibonacci,1000,1,200,gs_nen,worker,static
scenario_worker-linear_8,8,2,3,4,60,1.0,1.0,100,3.0,fibonacci,1000,1,200,gs_nen,worker,linear
scenario_worker-static_9,9,1,2,4,60,1.0,10.0,100,0.25,hydrolakes,1000,1,500,gs_nen,worker,static
scenario_worker-linear_9,9,1,2,4,60,1.0,10.0,100,0.25,hydrolakes,1000,1,500,gs_nen,worker,linear
scenario_nadir-none_9,9,1,2,4,60,1.0,10.0,100,0.25,hydrolakes,1000,1,500,gs_nen,nadir,none
scenario_worker-linear_10,10,0,1,8,60,10.0,10.0,10000,0.25,fibonacci,1000,1,1000,gs_nen,worker,linear
scenario_nadir-none_10,10,0,1,8,60,10.0,10.0,10000,0.25,fibonacci,1000,1,1000,gs_nen,nadir,none
scenario_worker-static_10,10,0,1,8,60,10.0,10.0,10000,0.25,fibonacci,1000,1,1000,gs_nen,worker,static
scenario_worker-static_11,11,1,2,4,60,1.0,1.0,1000,1.0,hydrolakes,1000,1,1000,gs_lakes,worker,static
scenario_nadir-none_11,11,1,2,4,60,1.0,1.0,1000,1.0,hydrolakes,1000,1,1000,gs_lakes,nadir,none
scenario_worker-linear_11,11,1,2,4,60,1.0,1.0,1000,1.0,hydrolakes,1000,1,1000,gs_lakes,worker,linear
