stat_name,val
Simulation Start Date,2020-01-01 00:00:00+00:00
Simulation End Date,2020-01-02 00:00:00+00:00
Ground Points,5001
Ground Points Observed,193
Observations,1645
Events,1000
Events Detected,3
Events Observed,3
Total Event Observations,33
Events Re-observed,3
Total Event Re-observations,33
Events Co-observed,3
Events Partially Co-observed,3
Events Fully Co-observed,0
Total Event Co-observations,16
P(Event Detected),0.003
P(Event Observed),0.003
P(Event Re-observed),0.003
P(Event Co-observed),0.003
P(Event Partially Co-observed),0.003
P(Event Fully Co-observed),0.0
P(Event at a GP),0.179
P(Event Observed | Event Detected),1.0
P(Event Re-oberved | Event Detected),1.0
P(Event Co-observed | Event Detected),1.0
P(Event Co-observed Partially | Event Detected),1.0
P(Event Co-observed Fully | Event Detected),0.0
Total Runtime [s],305.193
