stat_name,val
Simulation Start Date,2020-01-01 00:00:00+00:00
Simulation End Date,2020-01-02 00:00:00+00:00
Ground Points,1000
Ground Points Observed,244
Events,1000
Events Detected,5
Events Observed,5
Observations,299
Event Observations,5
Events Re-observed,0
Event Re-observations,0
Events Co-observed,5
Events Partially Co-observed,0
Events Fully Co-observed,0
Event Co-observations,5
P(Event Detected),0.005
P(Event Observed),0.005
P(Event Re-observed),0.0
P(Event Co-observed),0.005
P(Event Partially Co-observed),0.0
P(Event Fully Co-observed),0.0
P(Event at a GP),0.626
P(Event Observation | Observation),0.01672
P(Event Observed | Event Detected),1.0
P(Event Re-oberved | Event Detected),0.0
P(Event Co-observed | Event Detected),1.0
P(Event Co-observed Partially | Event Detected),0.0
P(Event Co-observed Fully | Event Detected),0.0
Total Runtime [s],97.44149
