stat_name,val
Simulation Start Date,2020-01-01 00:00:00+00:00
Simulation End Date,2020-01-02 00:00:00+00:00
Ground Points,1000
Ground Points Observed,424
Events,1000
Events Detected,14
Events Observed,14
Observations,633
Event Observations,14
Events Re-observed,0
Event Re-observations,0
Events Co-observed,14
Events Partially Co-observed,0
Events Fully Co-observed,0
Event Co-observations,14
P(Event Detected),0.014
P(Event Observed),0.014
P(Event Re-observed),0.0
P(Event Co-observed),0.014
P(Event Partially Co-observed),0.0
P(Event Fully Co-observed),0.0
P(Event at a GP),0.632
P(Event Observation | Observation),0.02212
P(Event Observed | Event Detected),1.0
P(Event Re-oberved | Event Detected),0.0
P(Event Co-observed | Event Detected),1.0
P(Event Co-observed Partially | Event Detected),0.0
P(Event Co-observed Fully | Event Detected),0.0
Total Runtime [s],3701.77326
