,lat [deg],lon [deg],start time [s],duration [s],severity,measurements
0,-23.876692107610967,-118.74672250291631,1923.9635599170235,900.0,10.0,"['visible', 'thermal', 'sar']"
1,-62.81765268239258,-124.4715814377544,199.8602786776988,900.0,10.0,"['thermal', 'sar', 'visible']"
2,1.49702162283948,-120.41145909958232,7756.447451563611,900.0,10.0,"['sar', 'visible', 'thermal']"
3,33.60835247303701,-46.49081905694573,7298.208312719951,900.0,10.0,"['sar', 'visible', 'thermal']"
4,-28.37519992703981,-116.18856101839737,7805.305969445395,900.0,10.0,"['sar', 'thermal', 'visible']"
5,74.82159445991806,144.72440215910115,1755.0113274879225,900.0,10.0,"['thermal', 'visible', 'sar']"
6,-29.72125145262208,-40.1676696886048,4830.61891050756,900.0,10.0,"['visible', 'thermal', 'sar']"
7,15.56676675607001,89.29992915780346,6825.875763812192,900.0,10.0,"['thermal', 'visible', 'sar']"
8,81.00765593812764,43.678489631656085,1020.8881936755251,900.0,10.0,"['visible', 'thermal', 'sar']"
9,60.32838411736082,-109.97311073943123,6973.553509412125,900.0,10.0,"['sar', 'visible', 'thermal']"
10,-87.88902399838304,-179.29068328381337,5090.991445801419,900.0,10.0,"['sar', 'visible', 'thermal']"
11,68.00749845581193,115.6626887110957,1846.4585966696332,900.0,10.0,"['sar', 'visible', 'thermal']"
12,-81.39321225290821,-6.569011611376411,8513.259274279313,900.0,10.0,"['thermal', 'visible', 'sar']"
13,-32.98136551749598,-178.76789295594804,4770.888132886648,900.0,10.0,"['thermal', 'visible', 'sar']"
14,33.38067953579967,133.69259685330692,6208.579591074522,900.0,10.0,"['thermal', 'visible', 'sar']"
15,62.147121970246616,36.35484584501052,2045.7773304582922,900.0,10.0,"['sar', 'thermal', 'visible']"
16,-9.233939767818176,63.03385966133058,2088.601365273173,900.0,10.0,"['thermal', 'visible', 'sar']"
17,68.00749845581193,115.6626887110957,350.7403310678782,900.0,10.0,"['thermal', 'sar', 'visible']"
18,8.624526222763485,-144.52027436199648,1052.9550761392188,900.0,10.0,"['visible', 'sar', 'thermal']"
19,50.971289160620046,179.2593861637642,4427.978490802081,900.0,10.0,"['visible', 'thermal', 'sar']"
20,22.969926745667745,112.31417878925582,4894.108627141602,900.0,10.0,"['sar', 'thermal', 'visible']"
