gp_index,lat [deg],lon [deg],start time [s],duration [s],severity,measurements
621,49.41505000000007,90.64687500000008,46536.212906252586,900.0,0.044701607973940405,"[thermal,visual]"
48,50.27708300000006,92.71041700000006,42847.86373911497,900.0,47.53614506839002,"[visual,sar]"
1740,63.77418400000005,-135.36704799999995,64050.50365892663,900.0,41.73779373095733,"[sar,visual]"
4984,68.06426200000004,-140.17812499999997,57358.41019223588,900.0,19.30835455425831,"[visual,thermal]"
3529,50.24970300000007,-94.46741699999995,55934.91122653195,900.0,22.047648389281726,"[visual,sar]"
668,45.81041700000003,85.96875000000006,64891.74431727117,900.0,61.27340203401391,"[sar,thermal]"
3573,54.52955500000007,-107.26721999999997,52440.401400992785,900.0,29.417781733646365,"[thermal,sar]"
844,54.12561100000005,-58.68229199999996,10016.522115786898,900.0,68.6693789545265,"[visual,sar]"
774,63.61463900000007,31.147902000000045,27638.7406853924,900.0,19.306781835430677,"[sar,visual]"
4161,21.73425500000008,-98.153125,63516.165698512734,900.0,89.06296149195417,"[sar,visual]"
969,51.483475000000055,-75.22482599999995,11664.627368571564,900.0,74.21740755788807,"[sar,thermal]"
1175,-44.60873899999996,169.25208300000008,73562.91539720068,900.0,12.983657680802995,"[thermal,visual]"
4894,61.84495800000008,71.62604200000004,33113.61037625764,900.0,28.31350138993506,"[sar,thermal]"
3298,55.02939300000003,-94.54672599999998,49073.712944852916,900.0,67.84880199738359,"[sar,visual]"
2286,62.45338800000008,-105.62412199999994,86352.5039182847,900.0,43.40667347664034,"[sar,visual]"
330,61.42394200000007,-94.73303299999998,79899.11187890958,900.0,57.05711147724186,"[visual,thermal]"
4813,45.61913700000008,48.47187500000007,21735.38807910812,900.0,99.44901417471817,"[thermal,sar]"
4804,62.88541300000003,-93.908122,68489.14866739397,900.0,50.59707332516938,"[thermal,sar]"
1032,42.94611600000008,-76.73439899999994,6414.6773374164795,900.0,40.19376637347598,"[sar,thermal]"
123,48.35383000000007,-74.09918699999997,29177.83424156253,900.0,49.2074049566962,"[visual,thermal]"
2606,-28.390296999999972,29.01979200000005,20222.50838273972,900.0,85.06608981866832,"[thermal,visual]"
852,48.81458300000003,97.28541700000004,61772.79697192473,900.0,84.4175303047228,"[sar,visual]"
