stat_name,val
Simulation Start Date,2020-01-01 00:00:00+00:00
Simulation End Date,2020-01-02 00:00:00+00:00
Ground Points,1000
Ground Points Observed,647
Events,1000
Events Detected,39
Events Observed,39
Observations,1419
Event Observations,40
Events Re-observed,1
Event Re-observations,2
Events Co-observed,39
Events Partially Co-observed,0
Events Fully Co-observed,1
Event Co-observations,40
P(Event Detected),0.039
P(Event Observed),0.039
P(Event Re-observed),0.001
P(Event Co-observed),0.039
P(Event Partially Co-observed),0.0
P(Event Fully Co-observed),0.001
P(Event at a GP),0.632
P(Event Observation | Observation),0.02748
P(Event Observed | Event Detected),1.0
P(Event Re-oberved | Event Detected),0.02564
P(Event Co-observed | Event Detected),1.0
P(Event Co-observed Partially | Event Detected),0.0
P(Event Co-observed Fully | Event Detected),0.02564
Total Runtime [s],5271.95934
