routine,t_avg,t_std,t_med,n
check_action_statuses,0.0,0.001,0.0,227
update_state,0.0,0.0,0.0,227
sense_environment,0.021,0.007,0.021,226
update_state_environment,0.0,0.0,0.0,226
get_environment_broadcasts,0.0,0.0,0.0,226
get_agent_broadcasts,0.0,0.0,0.0,226
sense,0.021,0.007,0.022,226
think,0.428,3.397,0.008,226
perform_state_change,0.14,0.64,0.005,147
do,0.104,0.521,0.013,226
perform_measurement,0.018,0.003,0.017,44
perform_broadcast,0.001,0.001,0.0,44
perform_wait_for_messages,0.027,0.088,0.01,75
