lat [deg],lon [deg],start time [s],duration [s],severity,measurements
77.60000000000002,97.3,66919.07933405167,3600,79.82085482115687,"[sar,thermal]"
-8.599999999999994,158.90000000000003,79706.22449319242,3600,72.35934301020427,"[sar,visual]"
-55.9,149.8,37586.20818867791,3600,0.7709830286767749,"[sar,thermal]"
10.5,35.80000000000001,7826.237777975221,3600,15.873898398466535,"[sar,thermal]"
-0.7999999999999972,-86.19999999999999,20903.301792465278,3600,88.30121888536861,"[thermal,visual]"
-10.799999999999995,-1.8999999999999773,40075.613177972766,3600,80.95842600181442,"[thermal,sar]"
-34.099999999999994,6.600000000000023,42046.0703467847,3600,31.790165115557045,"[sar,thermal]"
-70.4,81.69999999999999,6269.499906811507,3600,88.47279816295378,"[visual,sar]"
41.70000000000002,-122.9,80910.58731358094,3600,90.68348605815815,"[thermal,sar]"
0.2000000000000028,60.30000000000001,31956.099016240467,3600,14.403185461774925,"[visual,thermal]"
28.0,42.10000000000002,73151.49277823787,3600,96.99113251309976,"[visual,sar]"
-17.099999999999994,-178.6,4205.881211233362,3600,4.819374919121122,"[thermal,sar]"
1.1000000000000083,-29.19999999999999,31287.84864483652,3600,84.12406439766711,"[sar,thermal]"
76.70000000000002,134.3,43533.5818936052,3600,32.14539625289359,"[thermal,visual]"
-25.8,121.40000000000003,2827.5308821984263,3600,95.1869228706988,"[thermal,sar]"
20.700000000000003,-1.299999999999983,40490.25561149143,3600,13.90862827706194,"[visual,thermal]"
-35.0,-100.5,50087.113462841415,3600,29.942410915474515,"[visual,sar]"
-77.1,106.0,27250.285853722507,3600,35.19613314594753,"[visual,thermal]"
-47.8,-100.8,51890.06844747486,3600,70.06034065214011,"[visual,sar]"
-8.599999999999994,-13.399999999999975,73527.70116765027,3600,74.04157027982504,"[sar,visual]"
26.0,27.100000000000023,84296.79821692525,3600,12.501745067897973,"[sar,visual]"
-62.5,-73.69999999999999,69890.24896263712,3600,53.19771772243129,"[thermal,visual]"
