stat_name,val
Simulation Start Date,2020-01-01 00:00:00+00:00
Simulation End Date,2020-01-02 00:00:00+00:00
Ground Points,5001
Ground Points Observed,1673
Observations,15912
Events,1000
Events Detected,46
Events Observed,46
Total Event Observations,252
Events Re-observed,46
Total Event Re-observations,252
Events Co-observed,46
Events Partially Co-observed,46
Events Fully Co-observed,0
Total Event Co-observations,252
P(Event Detected),0.046
P(Event Observed),0.046
P(Event Re-observed),0.046
P(Event Co-observed),0.046
P(Event Partially Co-observed),0.046
P(Event Fully Co-observed),0.0
P(Event at a GP),0.179
P(Event Observed | Event Detected),1.0
P(Event Re-oberved | Event Detected),1.0
P(Event Co-observed | Event Detected),1.0
P(Event Co-observed Partially | Event Detected),1.0
P(Event Co-observed Fully | Event Detected),0.0
Total Runtime [s],3051.311
