stat_name,val
Simulation Start Date,2020-01-01 00:00:00+00:00
Simulation End Date,2020-01-02 00:00:00+00:00
Ground Points,10000
Ground Points Observed,4538
Events,10000
Events Detected,48
Events Observed,49
Observations,7818
Event Observations,60
Events Re-observed,8
Event Re-observations,19
Events Co-observed,49
Events Partially Co-observed,0
Events Fully Co-observed,2
Event Co-observations,51
P(Event Detected),0.0048
P(Event Observed),0.0049
P(Event Re-observed),0.0008
P(Event Co-observed),0.0049
P(Event Partially Co-observed),0.0
P(Event Fully Co-observed),0.0002
P(Event at a GP),0.6314
P(Event Observation | Observation),0.00627
P(Event Observed | Event Detected),1.0
P(Event Re-oberved | Event Detected),0.14583
P(Event Co-observed | Event Detected),1.0
P(Event Co-observed Partially | Event Detected),0.0
P(Event Co-observed Fully | Event Detected),0.04167
Total Runtime [s],3093.016
