gp_index,lat [deg],lon [deg],start time [s],duration [s],severity,measurements
342,55.31539800000007,-63.11072099999996,67163.61392932873,21600.0,76.03711791272431,"[visual,sar]"
273,35.13319400000006,116.66314100000012,40427.22898663274,21600.0,97.87605626755138,"[sar,thermal]"
186,58.85194700000005,16.626877000000036,57995.435655095,21600.0,67.92237199011124,"[thermal,visual]"
234,-7.914582999999936,32.20208300000007,19670.08589627893,21600.0,18.305109471620906,"[sar,visual]"
363,-2.1854169999999726,-54.64374999999996,85597.19234185155,21600.0,41.57281494999725,"[sar,visual]"
394,-32.05208299999998,135.52291700000012,61917.177937268134,21600.0,94.55914886158723,"[thermal,sar]"
146,71.66392600000006,144.465998,21787.655170610447,21600.0,9.286027402458918,"[sar,visual]"
399,66.35801400000008,-97.200743,25143.785738988205,21600.0,76.97719525404014,"[sar,visual]"
337,36.702154000000064,-96.92703199999994,32928.44859660207,21600.0,22.80940952265339,"[thermal,visual]"
445,71.10636700000003,-106.839544,77357.25588691098,21600.0,11.97010077074686,"[visual,thermal]"
143,2.761442000000045,31.410473000000025,41902.25453606469,21600.0,47.11797559928665,"[sar,thermal]"
364,-38.09615699999995,147.4177880000001,38860.92180260145,21600.0,7.499317994693245,"[sar,visual]"
450,10.955356000000052,-71.37699899999996,10919.692743840678,21600.0,13.626503670637636,"[visual,thermal]"
391,52.16256700000008,-62.915584999999965,25264.36105912352,21600.0,69.48564982298262,"[visual,sar]"
477,46.78125000000006,33.37291700000003,74957.05018237414,21600.0,82.49264899023865,"[visual,thermal]"
3,66.52045200000003,-113.47972599999996,69222.4006829126,21600.0,56.130523890196926,"[sar,visual]"
315,61.137943000000064,-98.62708299999996,35249.60607584919,21600.0,46.819109749463486,"[thermal,sar]"
480,15.19691000000006,-83.55312499999997,85166.8668282541,21600.0,89.58771232339377,"[sar,thermal]"
102,60.39975300000003,-103.12069599999997,8934.202415405378,21600.0,88.2532701944944,"[sar,thermal]"
107,47.95902600000005,-92.47569399999998,47422.086625757656,21600.0,55.71148495425724,"[thermal,sar]"
81,57.07120700000007,-103.30312499999997,54586.35002147744,21600.0,15.502869908670746,"[thermal,sar]"
143,2.761442000000045,31.410473000000025,7376.993493903799,21600.0,71.83344306409592,"[visual,sar]"
121,60.49201600000004,-149.83072999999996,53597.42018070289,21600.0,75.16230504511866,"[sar,visual]"
135,62.69434600000005,-100.28047799999996,14492.311195632064,21600.0,83.68633875135679,"[thermal,sar]"
434,49.34229500000004,-117.774543,56439.063898727916,21600.0,3.1679376905519807,"[thermal,sar]"
