routine,t_avg,t_std,t_med,n,t_total
_read_incoming_messages,0.00102,0.00508,2e-05,1169,1.19238
__check_action_completion,0.00013,0.00195,6e-05,1169,0.15197
update_action_completion,7e-05,0.00105,3e-05,1169,0.08182999999999999
get_plan_out,0.00017,0.00075,8e-05,1169,0.19873000000000002
preplanner/update_percepts,6e-05,0.00026,3e-05,1169,0.07014000000000001
preplanner/needs_planning,0.0,0.0,0.0,1169,0.0
preplanner/calculate_access_opportunities,0.00099,0.0,0.00099,1,0.00099
preplanner/_schedule_observations,0.04161,0.0,0.04161,1,0.04161
preplanner/is_observation_path_valid,0.00014,0.0,0.00014,1,0.00014
preplanner/_create_broadcast_path,0.01723,0.0,0.01723,1,0.01723
preplanner/_schedule_broadcasts,0.11322,0.0,0.11322,1,0.11322
preplanner/_schedule_maneuvers,0.03394,0.0,0.03394,1,0.03394
preplanner/__schedule_periodic_replan,0.00107,0.0,0.00107,1,0.00107
preplanner/generate_plan,0.19781,0.0,0.19781,1,0.19781
replanner/compile_new_measurement_request_bids,1e-05,1e-05,1e-05,1169,0.01169
replanner/update_percepts,0.00018,0.00038,0.00011,1169,0.21042000000000002
replanner/check_request_completion,0.01319,0.01655,0.00852,1169,15.41911
replanner/check_request_end_time,0.0,0.0,0.0,1169,0.0
replanner/compare_bids,0.00895,0.01366,0.00449,1169,10.46255
replanner/consensus_phase,0.02215,0.02565,0.01568,1169,25.893349999999998
replanner/needs_planning,0.02222,0.02562,0.01569,1169,25.97518
replanner/_generate_bids_from_request,1e-05,0.0,1e-05,112,0.0011200000000000001
replanner/_get_matching_request,1e-05,1e-05,1e-05,2997,0.029970000000000004
replanner/_can_bid,0.0,0.0,0.0,2494,0.0
replanner/_get_available_requests,0.00196,0.0035,0.0014,125,0.245
replanner/planning_phase,0.00299,0.00459,0.00235,61,0.18239
replanner/is_observation_path_valid,5e-05,7e-05,3e-05,1193,0.05965
replanner/merge_plans,0.00147,0.00239,0.00031,61,0.08967
replanner/_schedule_observations,0.00147,0.00239,0.00032,61,0.08967
replanner/_schedule_maneuvers,0.04011,0.03334,0.03923,61,2.44671
replanner/_create_broadcast_path,0.01819,0.00462,0.0168,64,1.16416
replanner/_schedule_broadcasts,0.01923,0.00628,0.01696,61,1.17303
replanner/_schedule_waits,0.0,0.0,0.0,61,0.0
replanner/generate_plan,0.06428,0.03311,0.06081,61,3.9210800000000003
replanner/_can_access,0.00032,0.00124,0.00022,638,0.20416
reward_grid/update,2e-05,4e-05,0.0,1170,0.0234
reward_grid/__get_target_indeces,1e-05,0.0,1e-05,189,0.0018900000000000002
reward_grid/propagate_reward,3e-05,1e-05,3e-05,378,0.011340000000000001
reward_grid/update_observation,9e-05,2e-05,8e-05,133,0.011970000000000001
reward_grid/update_event,0.00011,5e-05,0.0001,56,0.0061600000000000005
reward_grid/get_history,0.002,0.0,0.002,1,0.002
